Code,Scheme Name,Scheme NAV Name
153396,ICICI Prudential Nifty EV & New Age Automotive ETF FOF,ICICI Prudential Nifty EV & New Age Automotive ETF FOF - Growth
153397,ICICI Prudential Nifty EV & New Age Automotive ETF,ICICI Prudential Nifty EV & New Age Automotive ETF
153398,Kotak Nifty Midcap 150 ETF,Kotak Nifty Midcap 150 ETF
153403,HDFC NIFTY 1D Rate Liquid ETF,HDFC NIFTY 1D RATE LIQUID ETF GROWTH
153406,Motilal Oswal Nifty Capital Market ETF,Motilal Oswal Nifty Capital Market ETF
153413,Zerodha Silver ETF,Zerodha Silver ETF
153414,Axis Nifty500 Value 50 ETF,Axis Nifty500 Value 50 ETF
153415,360 ONE Silver ETF,360 ONE Silver ETF
153435,SBI BSE PSU BANK ETF,SBI BSE PSU BANK ETF
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH
153452,Groww Nifty 500 Momentum 50 ETF,Groww Nifty 500 Momentum 50 ETF
153453,Groww Nifty 500 Momentum 50 ETF FOF,Groww Nifty 500 Momentum 50 ETF FOF - Direct Plan - Growth
153519,Mirae Asset Nifty50 Equal Weight ETF,Mirae Asset Nifty 50 Equal Weight ETF
153524,Groww Silver ETF,Groww Silver ETF
153525,Groww Silver ETF FOF,Groww Silver ETF FOF - Direct - Growth
153531,ANGEL ONE NIFTY 50 ETF,ANGEL ONE NIFTY 50 ETF
153532,Motilal Oswal Nifty 50 Equal Weight ETF,MOTILAL OSWAL NIFTY 50 EQUAL WEIGHT ETF
153535,Motilal Oswal Nifty Next 50 ETF,MOTILAL OSWAL NIFTY NEXT 50 ETF
153564,Motilal Oswal BSE India Infrastructure ETF,Motilal Oswal BSE India Infrastructure ETF
153569,Nippon India BSE Sensex Next 30 ETF,Nippon India BSE Sensex Next 30 ETF
153572,Motilal Oswal Nifty India Manufacturing ETF,Motilal Oswal Nifty India Manufacturing ETF
153583,Groww Nifty 500 Low Volatility 50 ETF,Groww Nifty 500 Low Volatility 50 ETF
153608,Motilal Oswal Nifty PSE ETF,Motilal Oswal Nifty PSE ETF
153617,ICICI Prudential Nifty Top 15 Equal Weight ETF,ICICI Prudential Nifty Top 15 Equal Weight ETF
153618,Motilal Oswal Nifty India Tourism ETF,Motilal Oswal Nifty India Tourism ETF
153625,Groww Nifty India Internet ETF,Groww Nifty India Internet ETF
153626,Groww Nifty India Internet ETF FOF,Groww Nifty India Internet ETF FOF - Direct - Growth
153642,Mirae Asset Nifty India Internet ETF,Mirae Asset Nifty India Internet ETF
153656,Zerodha Silver ETF FoF,Zerodha Silver ETF FoF - Direct Growth
153657,Kotak Nifty200 Quality 30 ETF,Kotak Nifty200 Quality 30 ETF
153694,Motilal Oswal Nifty Midcap 150 Momentum 50 ETF,Motilal Oswal Nifty Midcap150 Momentum 50 ETF
153699,Groww Nifty 50 ETF,Groww Nifty 50 ETF
153724,Motilal Oswal Nifty Alpha 50 ETF,Motilal Oswal Nifty Alpha 50 ETF
153725,Nippon India Nifty 1D Rate Liquid ETF- Growth,Nippon India Nifty 1D Rate Liquid ETF-Growth
153744,Groww BSE Power ETF,Groww BSE Power ETF
153745,Groww BSE Power ETF FOF,Groww BSE Power ETF FOF Direct Growth
153780,Motilal Oswal Gold ETF,Motilal Oswal Gold ETF
153785,Groww Nifty Next 50 ETF,Groww Nifty Next 50 ETF
153796,SBI NIFTY 1D Rate Liquid ETF - Growth,SBI Nifty 1D Rate Liquid ETF - Growth
