date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2021-10-18,0.7546176211800717,25,25,1,2,0,0,0,1,0
2021-10-25,0.6294484899184254,21,24,1,0,0,0,0,1,0
2021-11-01,0.6471446270263067,22,22,2,0,1,0,0,1,0
2021-11-08,0.6888027350171257,23,23,2,3,1,0,0,1,0
2021-11-15,0.6649818087765273,22,22,2,1,0,0,0,2,0
2021-11-22,0.5507456193568765,19,20,2,0,1,0,0,1,0
2021-11-29,0.5040498844032395,18,20,0,0,0,0,0,0,0
2021-12-06,0.5309212259835708,19,20,0,0,0,0,0,0,0
2021-12-13,0.6150383235143334,21,21,0,1,0,0,0,0,0
2021-12-20,0.4717310770463643,17,19,2,0,2,0,0,0,0
2021-12-27,0.5280521631514733,19,19,0,0,0,0,0,0,0
2022-01-03,0.626682332836069,21,21,0,2,0,0,0,0,0
2022-01-10,0.6780306615135241,23,23,1,3,0,0,1,0,0
2022-01-17,0.7109957334633054,23,23,0,0,0,0,0,0,0
2022-01-24,0.5106964623882222,18,20,3,0,3,0,0,0,0
2022-01-31,0.5669344967595489,20,20,1,1,1,0,0,0,0
2022-02-07,0.5618391599666694,19,20,0,0,0,0,0,0,0
2022-02-14,0.4420841424146237,16,17,3,0,3,0,0,0,0
2022-02-21,0.43046558715275085,16,17,0,0,0,0,0,0,0
2022-02-28,0.4060668681296803,15,15,6,4,6,0,0,0,0
2022-03-07,0.37077296002120363,14,14,1,0,1,0,0,0,0
2022-03-14,0.4448243362302432,16,16,0,2,0,0,0,0,0
2022-03-21,0.47311767892156015,17,17,0,1,0,0,0,0,0
2022-03-28,0.46738141412410045,17,17,3,3,1,0,0,2,0
2022-04-04,0.5880654996190726,20,20,1,4,0,0,0,1,0
2022-04-11,0.6404151469514768,22,22,1,3,0,0,0,1,0
2022-04-18,0.582599770789431,20,21,1,0,1,0,0,0,0
2022-04-25,0.5326928699926902,19,20,1,0,1,0,0,0,0
2022-05-02,0.5048945637236127,18,18,3,1,1,0,0,2,0
2022-05-09,0.3924834014070569,15,15,3,0,2,0,0,1,0
2022-05-16,0.35554470438185426,14,9,6,0,6,0,0,0,0
2022-05-23,0.3951439472315934,15,9,0,0,0,0,0,0,0
2022-05-30,0.40287650149035736,15,15,1,7,1,0,0,0,0
2022-06-06,0.409470043321556,15,15,2,2,2,0,0,0,0
2022-06-13,0.34451693505909364,14,13,2,0,1,0,0,1,0
2022-06-20,0.28490056540764064,12,3,10,0,10,0,0,0,0
2022-06-27,0.35358370140813666,14,3,0,0,0,0,0,0,0
2022-07-04,0.3636994218018767,14,3,0,0,0,0,0,0,0
2022-07-11,0.451530077770146,17,17,0,14,0,0,0,0,0
2022-07-18,0.4897426953441055,18,18,0,1,0,0,0,0,0
2022-07-25,0.5355463533751131,19,19,0,1,0,0,0,0,0
2022-08-01,0.5906687226680476,20,20,1,2,1,0,0,0,0
2022-08-08,0.5886148431956377,20,20,1,1,0,0,0,1,0
2022-08-12,0.5866052268732457,20,20,0,0,0,0,0,0,0
2022-08-22,0.5809805240422006,20,20,1,1,0,0,0,1,0
2022-08-29,0.6130156888234292,21,21,3,4,0,0,0,3,0
2022-09-05,0.6404027876114744,22,22,2,3,1,0,0,1,0
2022-09-12,0.6763604908366613,23,23,1,2,1,0,0,0,0
2022-09-19,0.5984172243522751,20,22,1,0,1,0,0,0,0
2022-09-26,0.492874640233032,18,21,1,0,0,0,0,1,0
2022-10-03,0.5202397870387233,18,18,3,0,1,0,0,2,0
2022-10-10,0.5627903272901016,20,20,0,2,0,0,0,0,0
2022-10-17,0.5167786913731184,18,18,2,0,1,0,0,1,0
2022-10-24,0.5491334636468583,19,19,0,1,0,0,0,0,0
2022-10-31,0.5622576944792029,19,19,4,4,1,0,2,1,0
2022-11-07,0.5968580707838116,20,20,0,1,0,0,0,0,0
2022-11-14,0.5777121946563302,20,20,1,1,0,0,1,0,0
2022-11-21,0.5376038129282097,19,19,3,2,1,0,1,1,0
2022-11-28,0.5961532435048654,20,20,4,5,1,0,2,1,0
2022-12-05,0.6364344525695708,21,21,0,1,0,0,0,0,0
2022-12-12,0.604868166385041,21,21,0,0,0,0,0,0,0
2022-12-19,0.5874394438456183,20,21,0,0,0,0,0,0,0
2022-12-26,0.4853789432711273,17,20,1,0,1,0,0,0,0
2023-01-02,0.5617331167331746,19,19,2,1,1,0,0,1,0
2023-01-09,0.5576912848953909,19,19,1,1,1,0,0,0,0
2023-01-16,0.5380392215501129,19,19,1,1,0,0,0,1,0
2023-01-23,0.5394607016245545,19,19,2,2,1,0,0,1,0
2023-01-30,0.4469985877444575,16,17,2,0,2,0,0,0,0
2023-02-06,0.4718365160409964,17,17,2,2,2,0,0,0,0
