TICKER,RANK,S_12M,S_9M,S_6M,S_3M,Z_12M,Z_9M,Z_6M,Z_3M,COMPOSITE,1M%,3M%,12M%
GSPL,239.0,-0.11549100135111728,-1.098784005674708,-0.6709035977598878,-0.4977977692871177,-0.09029462679016813,-0.3040576460453147,0.15009989213937117,0.2774111777920599,0.00828969927398706,-8.56180856180857,0.47568710359406907,4.6422018348623695
TATAINVEST,240.0,-0.14777685459301385,-0.4273086703103308,-0.4421363489347359,-1.857162453941381,-0.125439406420545,0.2812494178020172,0.305190193268551,-0.4333511547360767,0.006912262478486628,-5.110823368116391,-13.166515647870636,1.9893573475235238
HYUNDAI,241.0,0.4608012997178909,0.1292773111736676,-2.023216618133712,-2.0204614673600743,0.5370286089318602,0.7664105092726412,-0.7666862065166712,-0.5187342671468085,0.004504661135255411,-7.182244279018457,-11.485539000876422,22.831341786007474
MAHSCOOTER,242.0,0.6781991605575325,-0.4147534974440703,-1.959548934694582,-1.6667466043281864,0.7736771451833284,0.2921934256894534,-0.7235233838334344,-0.33378963533716494,0.002139387925545619,-8.585967175517805,-8.59251827432994,
RKFORGE,243.0,-0.8316994012698781,-0.9988254625240995,-0.40379403615477977,0.42526416729720246,-0.8699235929500556,-0.21692646144835426,0.3311839527143253,0.7600466784204106,0.0010951441840815201,-3.099624552518987,5.6047197640117785,-19.122576883836185
ZYDUSLIFE,244.0,-0.1475638424347711,-0.641022068773589,-1.346473279122571,-0.39550116991160805,-0.12520753194276854,0.09496117284141059,-0.3078953228853206,0.3308983474990809,-0.0018108336218994187,-0.18409226271048906,0.16299918500406463,4.376627788472431
JWL,245.0,-0.3214053762904351,-1.3120296636561077,-0.7868948917605876,0.35707791703236014,-0.3144428094554502,-0.48993817415667834,0.07146483923159701,0.7243945691434119,-0.0021303938092799013,-10.979757085020236,5.367069196856433,-6.846297237756305
UPL,246.0,-0.1289885323460511,-0.3329421733187732,-0.7794880409552902,-1.6973434931374447,-0.10498737004266966,0.36350616554944437,0.07648623424207972,-0.34978763521436756,-0.003695651366378283,-15.886029164706661,-15.391374881708808,4.056862582093279
ANANTRAJ,247.0,-0.2755552065167471,-0.8121947935900209,-0.7005837575006136,-0.707243331414636,-0.2645325871472919,-0.05424550638633132,0.12997854638122244,0.16789971412380686,-0.005224958257148471,-16.25908204855573,-6.360844149410472,-3.6693507287738236
GICRE,248.0,-0.40159686680145645,-0.9062239014684002,-0.3786423902165712,-0.806007232512136,-0.4017352914327903,-0.13620816108103112,0.34823524114168525,0.11625966380758787,-0.01836213689113706,-4.648437500000002,-3.160539539804297,-4.78481341828112
HOMEFIRST,249.0,-0.038391688657247965,-0.8752472647990978,-1.1058921747036667,-0.6814771753646328,-0.006368136324575494,-0.10920665662973768,-0.14479594514687458,0.1813718996095156,-0.019749709622918027,-9.959818756946227,-9.324149806284975,6.067777833727783
PFIZER,250.0,0.39379918154421584,-1.2319442092754986,-1.0759748264351403,-1.0927327963077853,0.46409342396587805,-0.42012982872436666,-0.12451379997189542,-0.03365870086632819,-0.028552226399178055,-1.2510232782687258,-5.524540123704725,18.351668303179224
M&M,251.0,0.456306915985415,-0.1862678751455481,-1.3269085145788557,-2.700846447343579,0.532136245559309,0.4913582224817397,-0.2946316007389506,-0.8744828170756164,-0.03640498744337958,-12.228501773049649,-12.863390082235494,19.848685454889335
PGEL,252.0,-0.9802894720864087,-1.0067936126518553,-0.19867553374447022,0.1722235542501375,-1.0316713793561583,-0.22387208448161228,0.47024184001835684,0.6277409488512888,-0.03939016874203122,-7.2578605748967355,-1.1411627280079162,-34.119760479041915
ADANIGREEN,253.0,-0.18384151518960973,-0.7852953139655576,-0.5586633474824988,-1.4271355655758622,-0.1646976084452917,-0.03079795052119747,0.22619196521246795,-0.20850574152583867,-0.04445233381996497,-13.534829288149396,-14.941435579137053,-2.7470955188004353
NUVAMA,254.0,0.2428743761508936,-0.9143581829952215,-0.6571416053526797,-1.996569693582371,0.2998041612177384,-0.14329859640489573,0.15942968719321948,-0.5062421279510679,-0.047576718986251446,-12.49278290993071,-14.29884082555838,19.94974476672866
JKCEMENT,255.0,0.3413154068984547,-0.7823144563268045,-1.7964778714337648,-0.9561064046697306,0.40696218818047736,-0.0281996167620897,-0.6129711066326645,0.03777826811029698,-0.049107566775994975,-13.581075413136478,-7.155731795241527,20.595603212136826
MARUTI,256.0,0.38872651665172075,0.1706246843346679,-1.2862896400673995,-3.32212280983651,0.4585715723843271,0.8024519069354942,-0.2670944707001795,-1.199325621611459,-0.05134915324795425,-9.88783549205502,-15.749063670411989,17.224547933783807
BLUEDART,257.0,-0.38666902974908934,-1.078893488853881,-0.5859430261742893,-0.5668465722580727,-0.3854855878975339,-0.2867196153155834,0.20769799981862483,0.2413080710893918,-0.055799783076275165,-7.298016656649786,-0.415052573325958,-5.295288885770177
TECHNOE,258.0,0.3289155993444029,-1.3730582683415227,-2.017919579538476,0.23636339652153984,0.39346437225840286,-0.5431351741622495,-0.7630951360507413,0.6612773386188393,-0.06287214983393719,1.2499427681882835,1.143432125869004,22.773706417943586
IRB,259.0,-0.4126346825300425,-1.50243602741018,-0.3582222534739981,-0.19221370121411377,-0.4137505105591186,-0.6559103012583635,0.3620788536901109,0.4371899681776926,-0.0675979974874196,-4.686438759338918,1.6908212560386549,-1.635514018691575
HAL,260.0,0.32682116314713927,-1.4383607941204606,-0.9532280975229558,-1.0795507719808186,0.3911844728222252,-0.6000576367047399,-0.04129897246762072,-0.026766299979467983,-0.06923460908240085,-3.0476882110869075,-6.923076923076921,17.930597882896816
JMFINANCIL,261.0,0.5817181098532339,-0.6348643557248947,-2.179708792656919,-1.3776931278162268,0.668652655351676,0.10032868636681783,-0.8727783967047622,-0.18265408980601078,-0.07161278619806981,-6.879400061218255,-13.035088973057963,36.56155313657277
MAZDOCK,262.0,0.02240166892170829,-1.6267134950989803,-0.7801619150751126,-0.3845852703100044,0.05980849958760616,-0.7642396409739327,0.07602938851480393,0.33660587422098637,-0.07294896966263408,-1.4721941354904011,-2.129283676830984,5.185664939550949
SAGILITY,263.0,-0.3021484685636823,-0.10794703453644666,-0.6410496783813683,-2.4309396704944497,-0.2934806941491406,0.5596284013559824,0.17033903637911166,-0.7333583841371292,-0.07421791013779394,-18.412958786139022,-19.420818144997977,-5.306996668253216
COROMANDEL,264.0,0.2094502330474294,-0.7161399751967725,-1.0594038098194827,-1.9630509946171721,0.26342029566200104,0.029482905903946123,-0.11327965710337995,-0.48871641985466235,-0.07727321884802378,-11.427193828351012,-14.669988598454452,12.404739389219554
DMART,265.0,0.013543542169021403,-0.6980144565634199,-2.3149876927758983,0.04106133330864935,0.05016598184682866,0.04528243499050707,-0.9644892751789454,0.5591609959156617,-0.077469965606487,0.5710789312665776,0.8900255754475728,3.8898106449658965
BAJFINANCE,266.0,-0.062395903611312836,-0.5085577291639787,-0.6212713787717369,-2.3597572529516815,-0.032497934984071906,0.21042678951860963,0.1837475223316849,-0.6961396880073577,-0.08361582778528377,-9.103392157859936,-12.10288187272549,6.128532323094382
FLUOROCHEM,267.0,-0.870149317109378,-0.8055409022974482,-0.4424727722897433,-0.5107273875097446,-0.9117782656099745,-0.04844548757625599,0.3049621186656394,0.27065075087325274,-0.0961527209118346,-7.616987361949223,-6.880128536179497,-15.480267184021045
VIJAYA,268.0,-0.3340029806458837,-0.3122896717161968,-1.4045945716326098,-1.218050697523061,-0.3281559371719692,0.38150839800307085,-0.3472980293640288,-0.09918287166524374,-0.09828211004954274,-3.3405334806851816,-6.646613623132147,-5.076217256178772
ONESOURCE,269.0,-0.2008173386704064,-0.9515250086411691,-1.1328443839719342,-0.8859342281404702,-0.1831766485005989,-0.17569592277809812,-0.1630679061595591,0.07446874597216564,-0.11186793286652262,26.772195457673753,-11.100386100386107,-2.2292993630573354
MAXHEALTH,270.0,-0.09155452491860339,-0.9063505750484495,-1.2737399945158208,-1.0534041354895034,-0.06423856492785529,-0.13631857904770964,-0.25858657318576556,-0.01309517511494415,-0.11805972306906866,2.1980198019802,-3.954591979156974,4.188957302917129
GODREJCP,271.0,-0.10483402428441115,-0.9477001010865344,-1.4376339012907842,-0.7779223977552451,-0.0786939697553607,-0.1723618533158507,-0.3696966883159003,0.1309442020229911,-0.12245207734103017,-8.87534441011939,-3.3132530120481785,6.3950087736400985
TIINDIA,272.0,-0.6117458631669627,-0.9480346052637756,-1.111556106647889,-0.17385800463279127,-0.6304930730987993,-0.172653431647197,-0.1486357470211192,0.44678749404003154,-0.12624868943177098,8.576989802394941,-3.366724410634936,-12.31996719687004
SBFC,273.0,0.08946171900836129,-1.0667161744942366,-1.0944334449398443,-1.5020816058533366,0.1328067463627318,-0.27610497656713007,-0.13702762228267212,-0.2476922990425316,-0.13200453788240052,-5.185337303624604,-12.073890687488086,10.825732117138752
SHYAMMETL,274.0,-0.40202731171937156,-0.7870102944447054,-1.4788392287123175,-0.4670776700574692,-0.4022038524359578,-0.032292853067782824,-0.39763139781103607,0.29347359991501965,-0.13466362584993927,-11.805321657123624,-3.7846775675179245,-4.822196643848075
ANGELONE,275.0,0.09957788365781833,-1.5819893418887394,-0.45452396830987957,-1.5771083193974402,0.14381870180482656,-0.7252547945918401,0.29679213966152845,-0.28692103767501287,-0.14289124770012446,-19.52494936475787,-13.743832642589304,11.865881750703867
BOSCHLTD,276.0,0.4073533106708404,-0.2528196555510604,-2.319764300611444,-2.0484923359833864,0.4788477771393211,0.43334681814352266,-0.9677275251967921,-0.5333905884345448,-0.14723087958712328,-10.987931518383387,-13.771071234366506,20.231174429029863
INDIAMART,277.0,0.1379274771584122,-0.9691193355897794,-1.7122609928089911,-1.1201986027876942,0.1855641685389661,-0.19103242630145212,-0.5558771776146235,-0.04801957171931166,-0.15234125177410532,-5.243962104701339,-5.6426609974311255,9.819459777334139
BHARTIHEXA,278.0,0.19074142359367427,-1.014632802114279,-1.1515025030085764,-1.994391462929759,0.24305481296985734,-0.23070529595721215,-0.1757169777148523,-0.5051032103986905,-0.1671176677752244,-11.453109689319273,-9.41148720367967,13.481569033020602
JSWINFRA,279.0,-0.29280796521087943,-1.1421397050695532,-1.4169163270530414,-0.4344173978229916,-0.2833130851498818,-0.341849647891628,-0.3556514312098298,0.3105504679081626,-0.16756592408579424,-2.8448437207561184,-2.571321321321307,-1.7972001513431701
GUJGASLTD,280.0,-0.21641191966680146,-1.4092147749298674,-1.1345327869127664,-0.5342160044139977,-0.20015213644697757,-0.5746518324751223,-0.1642125408127528,0.2583694077376004,-0.17016177549931308,-7.902484984100811,-1.8574297188754918,0.8902077151335286
TARIL,281.0,-0.6052488615506811,-1.384012402940003,-1.6910657407099419,0.9273215290825632,-0.6234207591552386,-0.5526835998767187,-0.5415080839290897,1.0225542053216587,-0.17376455940984703,1.3127953789602742,17.9779861394211,-22.672010688042754
CRISIL,282.0,-0.29411731134507996,-1.2577536527875408,-1.3768152053668437,-0.33872487376459015,-0.28473837445543587,-0.4426272293077692,-0.3284653061422344,0.36058460692403155,-0.173811575745352,-8.297528395796983,-1.975808285207581,-1.4267096508676747
MINDACORP,283.0,-0.3649811025424113,-0.7991938894168221,-0.3496633188948308,-2.3236897739611,-0.36187718527587903,-0.0429129664578972,0.3678812915305142,-0.6772813155741535,-0.1785475439443539,-16.09371021135726,-14.989680082559332,-3.1736702909197723
VENTIVE,284.0,-0.5046608325581281,-0.7105334955058329,-0.9118079835587481,-1.4604984038945543,-0.5139256163163385,0.03436992407661341,-0.013218650741044814,-0.22594995576124366,-0.17968107468550337,-13.826986063836621,-5.186546071226683,-8.640294137672777
GODFRYPHLP,285.0,0.16794229729480742,-0.709957028410279,-2.1101168480267587,-1.3403609272162844,0.21823681409166706,0.034872415002687666,-0.8255992847283536,-0.16313444046071976,-0.18390612402367967,-2.828893161219437,-23.422675949641057,11.565954409740531
MOTILALOFS,286.0,0.28272007491675866,-0.9991772729127499,-1.354856792690981,-2.088554398161129,0.343178213991028,-0.21723312514062557,-0.3135788359341618,-0.5543375830716621,-0.18549283253885537,-12.503911383691102,-17.729786983641294,21.27862595419847
PNBHOUSING,287.0,-0.27619911127447305,-1.4633043782573547,-0.3503597648162639,-1.5236029816767995,-0.26523350995220213,-0.6218002908635435,0.3674091434925851,-0.25894504339596436,-0.19464242517978125,-10.371097131644259,-12.021300702469972,-3.354284647457839
TEJASNET,288.0,-0.8354181940476882,-1.26564721779938,-0.8749232366687396,-0.11200088621865843,-0.8739716864505729,-0.4495078384933032,0.011786967552757321,0.47913033056052,-0.20814055670764972,32.46972683751055,0.12771392081736277,-28.7002652519894
KAJARIACER,289.0,0.08474984937068432,-0.5511314164657425,-2.3028680800506938,-1.3825522192620694,0.12767763861320114,0.17331644666703244,-0.956272913803906,-0.18519473192287805,-0.2101183901116376,0.2931476731403482,-8.198370867273596,11.376584118125809
JBMA,290.0,-0.14928373620626462,-1.3849006161181379,-1.0834165983630035,-1.0967361913419018,-0.1270797230579892,-0.5534578315126172,-0.1295588693826357,-0.03575193046439143,-0.21146208860440838,-14.370556252613964,-10.437445319335081,3.0190198248968514
BAYERCROP,291.0,-0.46190944425049213,-1.4889874875853544,-1.448860951348073,0.029950728492081323,-0.4673885739248184,-0.6441875693226757,-0.37730794640952764,0.5533516649212856,-0.23388310618393407,-2.5102436920422577,2.9819805453675796,-4.587427051783988
BALKRISIND,292.0,-0.8276203141582994,-0.9375796075951669,-0.660000762644039,-1.2220586560593367,-0.8654833008953451,-0.16354009022472557,0.15749135219303986,-0.10127848735254105,-0.24320263156989294,-18.77846636302546,-6.409704895465884,-12.942918308957418
RHIM,293.0,-0.2861154037337843,-0.8327428081268518,-1.3628672078822517,-1.6434169229080542,-0.27602789443452436,-0.07215666026351483,-0.3190094109424466,-0.3215913937832225,-0.2471963398559271,-15.754487037447385,-15.133928571428578,-3.084374203415763
MEDANTA,294.0,-0.4470588537356885,-0.69049212070737,-1.8961086473157498,-0.8853654013389473,-0.4512229571417236,0.05183945366460154,-0.6805147218687806,0.07476616480967044,-0.25128301513405804,-5.142561805495738,-5.912508544087491,-6.523492211705772
