date,equity
2022-05-27,1385834.4451708165
2022-05-30,1387313.7199395257
2022-05-31,1396473.5349838478
2022-06-01,1393762.7210444566
2022-06-02,1393881.9592392882
2022-06-03,1391927.4534565178
2022-06-06,1390001.2519587849
2022-06-07,1392830.6485362092
2022-06-08,1392099.2350832177
2022-06-09,1391842.9524787958
2022-06-10,1390780.949741358
2022-06-13,1378379.3463959799
2022-06-14,1380327.230056678
2022-06-15,1375213.4952633027
2022-06-16,1362916.2362894984
2022-06-17,1360774.2196156012
2022-06-20,1353564.1566806664
2022-06-21,1358175.1723057472
2022-06-22,1354622.7952075093
2022-06-23,1356686.0493341382
2022-06-24,1360145.804986974
2022-06-27,1364229.545464525
2022-06-28,1363017.118705308
2022-06-29,1360081.4144805546
2022-06-30,1360651.776652808
2022-07-01,1367870.2683686558
2022-07-04,1377213.2100740902
2022-07-05,1376119.777251882
2022-07-06,1383613.1937984996
2022-07-07,1384933.933801971
2022-07-08,1384991.9351789863
2022-07-11,1388199.4568143175
2022-07-12,1384305.7962642722
2022-07-13,1387936.7746358332
2022-07-14,1386984.6781721804
2022-07-15,1389100.3934881862
2022-07-18,1391119.5733110607
2022-07-19,1390732.0955720544
2022-07-20,1394660.3412294774
2022-07-21,1397570.973796808
2022-07-22,1399345.144554791
2022-07-25,1399262.3331187184
2022-07-26,1394856.4284695417
2022-07-27,1396133.0075671868
2022-07-28,1398538.6786766497
2022-07-29,1399198.7882899966
2022-08-01,1400683.440069387
2022-08-02,1402925.7816123392
2022-08-03,1401268.4285503174
2022-08-04,1403429.1199054774
2022-08-05,1405151.5857529207
2022-08-08,1405329.0473548165
2022-08-10,1404340.3350238376
2022-08-11,1402296.869443567
2022-08-12,1401798.4664571814
2022-08-16,1405303.80904806
2022-08-17,1407724.686223028
2022-08-18,1410494.710720619
2022-08-19,1406854.361365843
2022-08-22,1406482.3811275284
2022-08-23,1406043.5776920961
2022-08-24,1406347.6079968722
2022-08-25,1406659.0955666602
2022-08-26,1405217.5936814167
2022-08-29,1406836.4756695763
2022-08-30,1413588.1661613956
2022-09-01,1411004.9017606126
2022-09-02,1410460.362202493
2022-09-05,1414370.841310218
2022-09-06,1415152.334094386
2022-09-07,1413292.8476688873
2022-09-08,1422580.6594901402
2022-09-09,1427788.7218674344
2022-09-12,1435862.5191567051
2022-09-13,1441197.259134704
2022-09-14,1446341.3508454522
2022-09-15,1448500.426109116
2022-09-16,1416501.2596489575
2022-09-19,1428635.8920628177
2022-09-20,1443628.8258278233
2022-09-21,1439619.2439592343
2022-09-22,1447565.0068576194
2022-09-23,1423536.1547056246
2022-09-26,1382354.064644069
2022-09-27,1382250.495181702
2022-09-28,1374830.7794398759
2022-09-29,1378510.7694266946
2022-09-30,1395194.6981225403
2022-10-03,1363681.7313021885
2022-10-04,1392306.3961183173
2022-10-06,1398811.8968613849
2022-10-07,1396247.0341759338
2022-10-10,1381736.1134350682
2022-10-11,1365293.6565081817
2022-10-12,1374373.2996926245
2022-10-13,1367180.3301727867
2022-10-14,1372043.7986564175
2022-10-17,1375225.377237581
2022-10-18,1389039.3752609184
2022-10-19,1391343.1759633645
2022-10-20,1392284.712927326
2022-10-21,1393010.2172949773
2022-10-24,1405044.2468266606
2022-10-25,1393863.1897623048
2022-10-27,1401629.403831541
2022-10-28,1399720.3660760445
2022-10-31,1410043.2971614457
2022-11-01,1418137.2786308732
2022-11-02,1415551.2397937598
2022-11-03,1422659.7493887832
2022-11-04,1424493.6731107447
2022-11-07,1446447.013589346
2022-11-09,1456238.7230767393
2022-11-10,1443229.2060941928
2022-11-11,1449893.915870051
2022-11-14,1444971.7487933934
2022-11-15,1454485.0040593345
2022-11-16,1456972.515351415
2022-11-17,1461446.0053669766
2022-11-18,1459334.8362371805
2022-11-21,1461865.2673779111
2022-11-22,1471862.1675117519
2022-11-23,1477308.7061300627
2022-11-24,1489661.0301834566
2022-11-25,1494209.2346755788
2022-11-28,1495264.8501323655
2022-11-29,1495009.769286498
2022-11-30,1495026.804333977
2022-12-01,1500395.4017372495
2022-12-02,1498103.3233855225
2022-12-05,1508469.033994554
2022-12-06,1508679.512321369
2022-12-07,1505236.828161685
2022-12-08,1528842.2181673197
2022-12-09,1521306.1073372639
2022-12-12,1526416.9387490035
2022-12-13,1543818.0993264555
2022-12-14,1549549.427214952
2022-12-15,1529814.037107301
2022-12-16,1512749.8775262309
2022-12-19,1519150.1048034853
2022-12-20,1513570.3957610778
2022-12-21,1489077.3816986955
2022-12-22,1478424.481380102
2022-12-23,1440754.4334199626
2022-12-26,1486954.599661512
2022-12-27,1492907.4802872166
2022-12-28,1493543.446538818
2022-12-29,1504357.0379949417
2022-12-30,1506591.7836798688
2023-01-02,1511743.1551206226
2023-01-03,1524306.0373223114
2023-01-04,1509060.180576591
2023-01-05,1494864.5475423464
2023-01-06,1483829.0763357212
2023-01-09,1498359.6376839415
2023-01-10,1475792.749173739
2023-01-11,1484325.9715632293
2023-01-12,1476699.672428104
2023-01-13,1488147.3532149799
2023-01-16,1492068.4046794863
2023-01-17,1488543.170679872
2023-01-18,1488751.8358909742
2023-01-19,1478672.0685135592
2023-01-20,1487404.2175273949
2023-01-23,1495227.2051776464
2023-01-24,1487684.0566823836
2023-01-25,1457883.9748583122
2023-01-27,1424171.0489178477
2023-01-30,1417959.1860881872
2023-01-31,1420737.5545857004
2023-02-01,1423687.9012844749
2023-02-02,1439488.8302593585
2023-02-03,1426303.8057156177
2023-02-06,1403146.6731214633
2023-02-07,1410219.4112510933
2023-02-08,1407845.4343135988
2023-02-09,1411932.0117355157
2023-02-10,1397654.4545551888
2023-02-13,1384788.6252708912
2023-02-14,1388391.674705205
2023-02-15,1376429.3832029104
2023-02-16,1386226.5437603907
2023-02-17,1362494.0930621785
2023-02-20,1367568.006511322
2023-02-21,1351104.906796259
2023-02-22,1341805.0825958115
2023-02-23,1341142.291969732
2023-02-24,1321591.2936126683
2023-02-27,1316084.007202675
2023-02-28,1311025.878834974
2023-03-01,1335217.1898143957
2023-03-02,1334057.966257182
2023-03-03,1339156.5116563288
2023-03-06,1336695.0053264145
2023-03-08,1319645.1764893895
2023-03-09,1320845.4836041206
2023-03-10,1318930.0923235521
2023-03-13,1324072.7399620558
2023-03-14,1331747.1392597232
2023-03-15,1332162.2541881613
2023-03-16,1336307.3210747892
2023-03-17,1335639.6124179852
2023-03-20,1341429.111458524
2023-03-21,1341202.6339078315
2023-03-22,1342099.1727101929
2023-03-23,1346565.2366866944
2023-03-24,1348384.2870463638
2023-03-27,1347556.3237939202
2023-03-28,1346447.642346637
2023-03-29,1351515.4217163725
2023-03-31,1356503.0164102495
2023-04-03,1356465.3201510555
2023-04-05,1356688.3007516281
2023-04-06,1356911.3180065462
2023-04-10,1357134.371921835
2023-04-11,1357357.4625035208
2023-04-12,1357580.5897576308
2023-04-13,1357803.7536901936
2023-04-17,1358026.9543072386
2023-04-18,1358250.191614796
2023-04-19,1358473.465618897
2023-04-20,1358696.7763255741
2023-04-21,1358920.1237408605
2023-04-24,1359143.5078707905
2023-04-25,1359366.9287213995
2023-04-26,1359590.3862987235
2023-04-27,1359813.8806088
2023-04-28,1360037.4116576673
2023-05-02,1360260.9794513644
2023-05-03,1360484.5839959318
2023-05-04,1360708.2252974105
2023-05-05,1360931.903361843
2023-05-08,1361155.6181952723
2023-05-09,1361379.3698037427
2023-05-10,1361603.1581932995
2023-05-11,1361826.9833699889
2023-05-12,1362050.845339858
2023-05-15,1362274.744108955
2023-05-16,1362498.679683329
2023-05-17,1362722.6520690303
2023-05-18,1362946.6612721102
2023-05-19,1363170.7072986206
2023-05-22,1363394.790154615
2023-05-23,1363618.9098461473
2023-05-24,1363843.0663792726
2023-05-25,1364067.2597600473
2023-05-26,1364291.4899945285
2023-05-29,1364515.7570887741
2023-05-30,1364740.0610488434
2023-05-31,1364964.4018807968
2023-06-01,1364864.3854424404
2023-06-02,1374307.194340615
2023-06-05,1376658.659560654
2023-06-06,1381390.8964327767
2023-06-07,1390845.962404714
2023-06-08,1380649.9154572114
2023-06-09,1381713.4708790851
2023-06-12,1387881.7220054944
2023-06-13,1403500.323385377
2023-06-14,1407387.147789992
2023-06-15,1412440.3337389946
2023-06-16,1423060.1739351857
2023-06-19,1420269.3995397699
2023-06-20,1419047.0880429817
2023-06-21,1415979.4759879787
2023-06-22,1402544.6166932604
2023-06-23,1397663.571996439
2023-06-26,1399912.1049627496
2023-06-27,1403847.8302696315
2023-06-28,1408875.9706704204
2023-06-30,1415883.9824619933
2023-07-03,1422636.5986870253
2023-07-04,1420574.8030817746
2023-07-05,1430133.2485837713
2023-07-06,1435715.465452776
2023-07-07,1436867.2268459115
2023-07-10,1431216.9914396498
2023-07-11,1438493.560555927
2023-07-12,1441371.3969396409
2023-07-13,1436845.297809715
2023-07-14,1448735.0243625068
2023-07-17,1450936.3195406084
2023-07-18,1450044.7673973304
