Rebalance_Date,State,Regime,Exposure,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2024-05-10,Correction,Correction (exp=0.50),0.5014478512856664,573,4.800215763935833,0.0168810491575524,0.016689040526994967,0.029090189602864802,26849716.738899484,4902010.064868948,"AURIONPRO, ANANDRATHI, BSE, ELECTCAST, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, TMPV, LUPIN, FORCEMOT, WEBELSOLAR, TARIL, MOTILALOFS, ETERNAL, SCHNEIDER"
2024-05-17,Bull,Bull (exp=1.00),1.0,607,28.050073511491718,-8.45622602409244e-05,-0.001206565200700593,0.019900733697135742,26817320.805033658,4999563.661750585,"AURIONPRO, ANANDRATHI, BSE, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, MEDANTA, BAJAJ-AUTO, KPIGREEN, FORCEMOT, WEBELSOLAR, TARIL, MOTILALOFS, ETERNAL, SCHNEIDER, JAIBALAJI, CUMMINSIND, HAL"
2024-05-24,Bull,Bull (exp=1.00),1.0,601,21.672311245969503,-0.017037359808044918,-0.017904252257883696,-0.01770873334497003,26337176.728459742,4911027.722023441,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, BAJAJ-AUTO, KPIGREEN, FORCEMOT, WEBELSOLAR, TARIL, ETERNAL, SCHNEIDER, CUMMINSIND, HAL, BEL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON"
2024-05-31,Bull,Bull (exp=1.00),1.0,582,8.718996870832312,0.0018482641081855105,0.001499504233352218,0.03131500760544559,26376669.436458614,5064816.59248916,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, IRFC, GVT&D, BAJAJ-AUTO, FORCEMOT, WEBELSOLAR, TARIL, ETERNAL, CUMMINSIND, HAL, BEL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON, RTNPOWER, CHOICEIN"
2024-06-07,Bull,Bull (exp=1.00),1.0,607,10.333309783228906,0.06394314004665791,0.06352980765532876,0.02068309582501482,28052374.17234502,5169572.679407738,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, GVT&D, BAJAJ-AUTO, FORCEMOT, WEBELSOLAR, TARIL, CUMMINSIND, HAL, BEL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON, RTNPOWER, CHOICEIN, HERITGFOOD, M&M"
2024-06-14,Bull,Bull (exp=1.00),1.0,624,1.037591126992636,0.012396082131178196,0.012354578486098491,0.000985851456044129,28398949.43077866,5174669.110160858,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, GVT&D, BAJAJ-AUTO, FORCEMOT, WEBELSOLAR, TARIL, CUMMINSIND, HAL, BEL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON, RTNPOWER, CHOICEIN, HERITGFOOD, M&M"
2024-06-21,Bull,Bull (exp=1.00),1.0,630,5.148446657065928,0.014801371748769837,0.0145954338824872,0.014548349088423285,28813444.419527687,5249952.00279256,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, GVT&D, BAJAJ-AUTO, FORCEMOT, WEBELSOLAR, TARIL, CUMMINSIND, HAL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON, RTNPOWER, CHOICEIN, HERITGFOOD, M&M, GALLANTT"
2024-06-28,Bull,Bull (exp=1.00),1.0,627,6.509281351242613,0.0342743692178466,0.034013997963796894,0.018969667149829172,29793504.859343473,5349541.8448381135,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, GVT&D, FORCEMOT, WEBELSOLAR, TARIL, CUMMINSIND, HAL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON, RTNPOWER, CHOICEIN, HERITGFOOD, M&M, GALLANTT, KIRLOSENG"
2024-07-05,Bull,Bull (exp=1.00),1.0,637,10.274732599960418,-0.014319219929232954,-0.014730209233231371,0.004689474565690688,29354640.29897405,5374628.38525758,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, CUMMINSIND, HAL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON, RTNPOWER, CHOICEIN, M&M, GALLANTT, KIRLOSENG, SKYGOLD, GRSE, KIRLOSBROS"
2024-07-12,Bull,Bull (exp=1.00),1.0,631,9.001249259098604,-0.06271323393464603,-0.06307328390500998,-0.010471759589010032,27503146.737467412,5318346.568926894,"ANANDRATHI, TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, CUMMINSIND, HAL, SIEMENS, COCHINSHIP, SHAKTIPUMP, DIXON, CHOICEIN, GALLANTT, KIRLOSENG, SKYGOLD, GRSE, KIRLOSBROS, RVNL, OIL"
