CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,05,728","38,874","10,05,665",20.28,26.20,-82.00,325,25.90,26.15,"1,560","24,000.00",325,925.00,929.45,260,590.90,931.40,37.19,"34,210","-4,784","10,217",
,"22,707","9,004","2,62,917",20.61,23.05,-69.10,260,22.75,23.05,"1,170","24,050.00","1,040",964.90,982.70,780,602.90,979.05,35.96,"3,952","-1,128",652,
,"41,572","1,386","4,60,654",21.01,19.90,-57.25,"1,170",19.80,20.00,"1,235","24,100.00",260,"1,018.25","1,027.90",130,607.55,"1,018.10",38.75,"4,110","-1,292","2,478",
,"17,990","4,689","2,06,336",21.40,17.90,-47.25,325,17.55,17.85,325,"24,150.00",65,"1,041.75","1,093.90",780,626.95,"1,075.45",36.34,"1,081",-478,505,
,"49,925","4,815","5,50,785",21.80,15.00,-39.30,715,15.00,15.65,650,"24,200.00",65,"1,108.35","1,126.45",65,631.65,"1,120.50",40.92,"3,037",-562,"2,890",
,"23,860","10,354","2,45,616",22.27,13.85,-31.60,910,13.35,13.75,325,"24,250.00",65,"1,152.70","1,175.70",195,636.25,"1,168.00",38.80,716,-328,770,
,"46,877","5,176","4,90,088",22.66,11.70,-25.60,"1,040",11.70,11.85,"2,080","24,300.00",195,"1,206.90","1,212.60",195,635.55,"1,212.60",39.36,"2,447",-272,"3,872",
,"15,288","3,460","2,00,765",23.13,10.30,-21.25,"1,625",10.20,10.45,"1,560","24,350.00",65,"1,231.85","1,286.70",780,654.80,"1,268.60",44.61,"4,781",738,"1,145",
,"36,695","3,506","4,26,262",23.48,9.00,-17.60,"2,470",8.95,9.10,845,"24,400.00",130,"1,300.60","1,318.15",130,649.15,"1,314.15",43.77,"7,694",81,"2,853",
,"8,965","-1,244","1,77,442",24.00,8.15,-13.85,650,7.75,8.30,"1,300","24,450.00",780,"1,335.20","1,371.65",130,666.60,"1,363.00",32.47,66,-28,194,
,"94,935","27,423","7,22,371",24.40,7.20,-11.90,"28,080",7.20,7.35,325,"24,500.00",65,"1,400.55","1,412.95",65,657.35,"1,412.80",47.04,"2,191",-673,"5,394",
,"11,389",595,"1,45,493",24.85,6.35,-9.80,"1,235",6.25,6.50,650,"24,550.00",780,"1,437.00","1,471.80",65,636.60,"1,465.00",33.91,38,-8,53,
,"42,672","4,366","4,52,871",25.20,5.50,-7.90,"2,665",5.50,5.70,"1,755","24,600.00",65,"1,501.00","1,516.55",65,667.00,"1,514.15",45.70,212,-58,"1,277",
,"10,155",70,"1,43,555",25.72,5.10,-6.40,"1,300",4.80,5.05,"1,365","24,650.00",130,"1,546.40","1,610.45",780,663.65,"1,555.00",35.58,35,-15,109,
,"36,103","2,817","5,17,824",26.06,4.45,-5.45,65,4.40,4.50,520,"24,700.00",65,"1,594.40","1,616.00",65,675.60,"1,610.00",33.75,118,-50,"1,074",
,"10,379","-2,912","1,49,122",26.53,4.05,-4.45,"1,950",3.90,4.05,260,"24,750.00",780,"1,615.10","1,705.70",780,554.90,"1,541.00",-,6,-1,60,
,"59,523","23,826","3,44,078",26.89,3.25,-4.30,975,3.30,3.45,"1,755","24,800.00",65,"1,702.00","1,715.00",65,656.85,"1,702.70",49.49,210,-118,690,
,"10,643","4,427","69,442",27.35,3.25,-3.30,"2,405",3.10,3.25,"4,550","24,850.00",780,"1,719.50","1,780.50",390,655.30,"1,760.00",-,48,-13,127,
,"26,367","6,562","2,15,964",27.69,2.75,-3.10,325,2.75,2.85,"1,755","24,900.00",65,"1,792.25","1,813.65",65,666.40,"1,810.60",53.05,99,-39,438,
,"7,732",279,"66,950",28.25,2.70,-2.50,"3,055",2.55,2.70,"37,050","24,950.00",780,"1,803.65","1,916.50",780,-,-,-,-,-,33,
,"1,30,926","25,846","6,78,513",28.37,2.40,-2.30,"1,68,480",2.40,2.45,195,"25,000.00",65,"1,900.00","1,907.05",130,654.90,"1,903.75",53.38,"3,222","-1,442","6,552",
,"10,941","4,133","95,029",28.90,2.25,-1.95,"1,430",2.15,2.25,"1,950","25,050.00",780,"1,906.45","2,043.25",780,-,-,26.27,-,-,52,
,"22,650","6,184","1,79,747",29.23,2.00,-1.80,"6,110",1.95,2.05,"15,470","25,100.00",130,"1,991.20","2,012.90",65,746.65,"2,050.00",57.35,54,-22,441,
,"5,251",-731,"54,165",29.80,1.95,-1.40,"2,860",1.95,2.05,"2,795","25,150.00",780,"2,006.05","2,107.85",780,-,-,-,-,-,22,
,"37,170","-10,961","2,77,772",30.29,1.80,-1.15,"1,755",1.75,1.80,585,"25,200.00",130,"2,090.95","2,112.65",65,684.25,"2,097.40",60.18,87,-17,479,
,"4,451","-2,413","73,703",30.71,1.90,-0.80,"2,145",1.70,1.85,325,"25,250.00",780,"2,104.05","2,392.95","1,690",655.95,"2,076.30",41.62,12,-,183,
,"16,873","-10,528","1,87,847",30.94,1.75,-0.60,"1,755",1.65,1.75,"2,015","25,300.00",65,"2,190.00","2,212.30",65,644.45,"2,206.15",-,162,-69,"1,057",
,"6,662","-5,237","67,262",31.22,1.70,-0.45,65,1.55,1.70,"1,755","25,350.00",780,"2,201.35","2,307.00",780,700.00,"2,250.00",-,9,-5,54,
,"12,951","-18,648","1,79,879",31.82,1.55,-0.40,"1,820",1.55,1.65,"1,755","25,400.00",780,"2,273.65","2,348.65",845,672.30,"2,316.30",64.24,171,-108,615,
,"4,064","-3,556","53,645",32.34,1.55,-0.30,325,1.55,1.60,"1,755","25,450.00",65,"2,301.00","2,367.95",130,870.00,"2,527.60",41.83,89,-77,361,
,"38,387","-9,472","3,38,666",33.12,1.50,-0.30,"49,270",1.45,1.50,"1,235","25,500.00",65,"2,388.80","2,408.35",65,663.30,"2,410.00",62.92,355,-195,"2,868",
,"3,162","-2,920","56,593",33.71,1.55,-0.15,650,1.50,1.55,"1,235","25,550.00",780,"2,407.05","2,507.50",780,680.60,"2,400.00",54.45,5,-,239,
,"5,975","-5,130","1,41,443",34.22,1.50,-0.10,"1,430",1.45,1.60,975,"25,600.00",780,"2,459.10","2,519.15",130,685.75,"2,510.25",45.16,53,-49,474,
