,RS_12M_before,RS_9M_before,RS_6M_before,RS_3M_before,RZ_12M_before,RZ_9M_before,RZ_6M_before,RZ_3M_before,RES_MOM_before,RS_12M_after,RS_9M_after,RS_6M_after,RS_3M_after,RZ_12M_after,RZ_9M_after,RZ_6M_after,RZ_3M_after,RES_MOM_after,RANK_before,COMPOSITE_before,RANK_after,COMPOSITE_after
PHOENIXLTD,1.2139932996887037,1.0182487341351631,0.9920980315091831,0.46798141241972746,1.1263666838055468,0.7807414084129128,0.49866277819097954,0.23328027581929442,0.6597627865571833,1.137748023308713,1.0134721442995094,0.2756460884128417,-0.3843756740476092,1.0851865334785362,0.8703562413045562,-0.00816963709614738,-0.14877054274846152,0.44965064873462085,219.0,1.467523918270139,219.0,1.467523918270139
LTF,1.4181286934564452,0.4558202241436175,0.054072351823591915,1.3578954699585961,1.306778617169465,0.313430864539526,-0.15935691801250002,0.6644948689162194,0.5313368581531777,1.3364924264859157,0.6946047196157794,-0.4006963638528478,-1.1015331719097392,1.2610328487564992,0.6051564755152901,-0.4960855776991364,-0.5219287398351777,0.2120437516843688,220.0,1.466936742726655,220.0,1.466936742726655
IONEXCHANG,-0.29948178755800503,0.4063459209622119,0.6017137566387959,1.2270915170800378,-0.2112208925016249,0.27232366048294815,0.22481042263614076,0.6011128233825322,0.22175650349999906,-0.9684501614536395,-0.5756371193621783,0.012905379209482214,-1.630932918462139,-0.7783486610465177,-0.45129461392040515,-0.19771175416452005,-0.7973910414224311,-0.5561865176384685,221.0,1.4634756263324342,221.0,1.4634756263324342
PWL,,-0.4139282844672476,0.7975914751331002,1.7607982434608962,0.0,-0.40922568890958705,0.3622175316396542,0.8597244577305625,0.20317907511515743,,,0.1529916129673046,1.695070705003391,0.0,0.0,-0.09665302824762631,0.933226736870508,0.2091434271557204,222.0,1.4616877522576872,222.0,1.4616877522576872
TATATECH,0.4341402802027518,0.7872912941870983,1.519364700495495,0.027625445965512304,0.43714376959975343,0.58884351391365,0.868537357169335,0.01990245884502565,0.47860677488194103,0.7514767089591756,0.8416327437051794,1.5674029625191321,3.5649413675368264,0.7434189856126483,0.7274386358571363,0.923708538151615,1.9061755902205162,1.075185437460479,223.0,1.4444589551139637,223.0,1.4444589551139637
EPL,0.8312146339702587,1.5671195596504723,1.1263823837915594,1.5187474983411127,0.7880723887393156,1.2367871447708538,0.5928624899977476,0.7424369368947922,0.8400397401006773,0.36696687670981826,0.8221181496309139,1.1338052208174814,-0.7454265219052986,0.4032099728893505,0.711208486969708,0.6109095274182397,-0.3366359472723457,0.3471730100012381,224.0,1.4412099513745524,224.0,1.4412099513745524
LTFOODS,0.09346364757190524,0.8177121873627153,0.9594438098991293,2.623208217788749,0.13605864756173044,0.6141196225789548,0.4757560268632218,1.2776117391057888,0.6258865090274239,-0.2511953750175829,0.4632516374495006,1.215989585794608,0.15846643523832793,-0.14373148796412902,0.41274176502557175,0.6701976315529803,0.13368621662133703,0.26822353130894,225.0,1.4388710042544695,225.0,1.4388710042544695
EXIDEIND,0.608604640405371,1.0114625192024582,1.8863097639413482,0.9754723178480107,0.5913328690317964,0.7751028788314523,1.1259472387974572,0.4791888356749062,0.7428929555839031,1.0740300393341544,1.2475090390419392,2.554733711605218,3.6813879468627135,1.028809737353735,1.0650030595968307,1.6359725835517258,1.9667661797739937,1.4241378900690713,226.0,1.4334388809796965,226.0,1.4334388809796965
INDUSINDBK,0.7967651951426032,1.2833585651758908,0.8481670675113996,0.8103305092566615,0.7576264687668552,1.0010158381918839,0.39769602295690076,0.3991681222231484,0.6388766130346971,0.9055880689793587,1.6030037090912876,0.5774672210807956,0.7699334841924623,0.8797745979911373,1.3606654444576511,0.20956524165680485,0.4518505560389038,0.7254639600361242,227.0,1.433115679437833,227.0,1.433115679437833
J&KBANK,1.108887750613612,1.3521943974157864,1.6420718970112214,-0.5721668080041244,1.033475906924943,1.0582101475672858,0.9546157598419811,-0.27073141815371804,0.6938925990451229,1.2879095324076872,1.4322035091644378,1.9190921046598937,0.905643175853317,1.2180473720707539,1.2186121348030585,1.1774183829390303,0.5224643110624818,1.0341355502188312,228.0,1.4308530001538702,228.0,1.4308530001538702
