,equity
2023-02-28,1013778.5929859385
2023-03-01,1013909.441984962
2023-03-02,1013682.1850269542
2023-03-03,1013647.7524097667
2023-03-06,1013103.6951587901
2023-03-08,1013034.8299244151
2023-03-09,1012697.3767994151
2023-03-10,1010124.2573188128
2023-03-13,1010124.2573188128
2023-03-14,1010124.2573188128
2023-03-15,1010124.2573188128
2023-03-16,1010124.2573188128
2023-03-17,1010124.2573188128
2023-03-20,1010124.2573188128
2023-03-21,1010124.2573188128
2023-03-22,1010124.2573188128
2023-03-23,1010124.2573188128
2023-03-24,1010124.2573188128
2023-03-27,1010124.2573188128
2023-03-28,1010124.2573188128
2023-03-29,1010124.2573188128
2023-03-31,1010124.2573188128
2023-04-03,1010124.2573188128
2023-04-05,1010124.2573188128
2023-04-13,1009429.6174661864
2023-05-08,1007991.1721507943
2023-05-11,1007889.8237640345
2023-05-16,1008949.5673237575
2023-05-24,1010098.7431441379
2023-05-25,1021794.1809343053
2023-05-30,1017793.7361490874
2023-06-01,1023705.6168411813
2023-06-02,1031697.3683079324
2023-06-05,1025017.4013413034
2023-06-06,1029588.191271647
2023-06-07,1047650.361313685
2023-06-08,1037067.2700222573
2023-06-09,1041179.188153132
2023-06-12,1046855.6689270578
2023-06-13,1046950.3634670816
2023-06-14,1065857.3795403084
2023-06-15,1062541.8029984077
2023-06-16,1063611.384554728
2023-06-19,1060795.0597103676
2023-06-20,1069228.637110575
2023-06-21,1068368.43417631
2023-06-22,1077233.3142708382
2023-06-23,1058589.6391819557
2023-06-26,1078157.403107508
2023-06-27,1089369.23536764
2023-06-28,1087703.0572013631
2023-06-30,1093146.9288825765
2023-07-03,1107508.3773460165
2023-07-04,1125245.9609603658
2023-07-05,1129190.619312264
2023-07-06,1128931.4441528097
2023-07-07,1119445.5212173238
2023-07-10,1112982.3697833791
2023-07-11,1119705.7953376547
2023-07-12,1116019.7381267324
2023-07-13,1112780.9316272512
2023-07-14,1125215.7118434682
2023-07-17,1125438.9075164571
2023-07-18,1117739.0190124288
2023-07-19,1118562.3200816885
2023-07-20,1134874.1694793478
2023-07-21,1126065.5212611929
2023-07-24,1140647.812742211
2023-07-25,1150279.525934197
2023-07-26,1164136.242265679
2023-07-27,1160916.4088394607
2023-07-28,1144865.6718323196
2023-07-31,1160102.812136885
2023-08-02,1159278.8111501993
2023-08-03,1158310.7912985147
2023-08-04,1167827.8954092325
2023-08-07,1166601.2166906656
2023-08-08,1174175.5812841714
2023-08-09,1186836.6281591714
2023-08-10,1180004.3395239175
2023-08-11,1181643.1102949441
2023-08-14,1172731.0472990335
2023-10-23,1217454.0781453927
2023-10-25,1217171.4778458932
