Date,Ticker,Action,Reason,Entry Price,Exit Price,Peak Price,PnL %,Days Held
2023-03-17,RITES LIMITED,BUY,STREAK_6,162.5949,,162.5949,,
2023-03-17,HCL TECHNOLOGIES LIMITED,BUY,STREAK_5,988.2555,,988.2555,,
2023-03-24,JINDAL STEEL LIMITED,SELL,TSL_EXIT,517.0755,530.2803,605.6376,2.55,119.0
2023-03-24,ABB INDIA LIMITED,BUY,STREAK_5,3294.2109,,3294.2109,,
2023-03-24,GAIL (INDIA) LIMITED,BUY,STREAK_5,93.2477,,93.2477,,
2023-03-31,NCC LIMITED,BUY,STREAK_5,102.8485,,102.8485,,
2023-03-31,J. K. CEMENT LIMITED.,BUY,STREAK_5,2889.5481,,2889.5481,,
2023-04-28,ZEN TECHNOLOGIES LIMITED,SELL,TSL_EXIT,191.6689,290.2971,337.7902,51.46,91.0
2023-04-28,KEI INDUSTRIES LIMITED,BUY,STREAK_7,1888.9503,,1888.9503,,
2023-05-12,APL Apollo Tubes Limited,SELL,TSL_EXIT,1127.569,1167.6537,1307.604,3.55,105.0
2023-05-12,GE VERNOVA T&D INDIA LIMITED,BUY,STREAK_9,217.5416,,217.5416,,
2023-05-19,RITES LIMITED,SELL,TSL_EXIT,162.5949,168.134,192.5471,3.41,63.0
2023-05-19,GLOBAL HEALTH LIMITED,BUY,STREAK_6,559.1987,,559.1987,,
2023-05-26,GE VERNOVA T&D INDIA LIMITED,SELL,TSL_EXIT,217.5416,193.8134,236.8333,-10.91,14.0
2023-05-26,INDIAN OIL CORPORATION LIMITED,BUY,STREAK_6,74.9088,,74.9088,,
2023-06-02,FINOLEX CABLES LIMITED,SELL,TSL_EXIT,666.8585,778.4828,895.7347,16.74,105.0
2023-06-02,Jubilant FoodWorks Limited,BUY,STREAK_5,488.9554,,488.9554,,
2023-06-23,Jubilant FoodWorks Limited,SELL,52H_BREACH,488.9554,475.8385,495.0171,-2.68,21.0
2023-06-23,CAN FIN HOMES LIMITED,BUY,STREAK_6,713.4012,,713.4012,,
2023-07-28,CAN FIN HOMES LIMITED,SELL,TSL_EXIT,713.4012,711.4434,864.1313,-0.27,35.0
2023-07-28,RBL BANK LIMITED,BUY,STREAK_6,230.1451,,230.1451,,
2023-08-04,JBM AUTO LIMITED,SELL,TSL_EXIT,320.6869,655.8553,741.8719,104.52,147.0
2023-08-04,LUPIN LIMITED,BUY,STREAK_5,1052.8076,,1052.8076,,
2023-08-11,CUMMINS INDIA LIMITED,SELL,TSL_EXIT,1160.7389,1682.9651,1905.1696,44.99,378.0
2023-08-11,KEI INDUSTRIES LIMITED,SELL,TSL_EXIT,1888.9503,2321.2043,2614.5574,22.88,105.0
2023-08-11,SHYAM METALICS AND ENERGY LIMITED,BUY,STREAK_5,459.9816,,459.9816,,
2023-08-11,GODAWARI POWER AND ISPAT LIMITED,BUY,STREAK_5,571.8654,,571.8654,,
2023-09-15,NCC LIMITED,SELL,TSL_EXIT,102.8485,142.9243,168.097,38.97,168.0
2023-09-15,GRAVITA INDIA LIMITED,BUY,STREAK_6,796.7258,,796.7258,,
2023-09-22,SHYAM METALICS AND ENERGY LIMITED,SELL,TSL_EXIT,459.9816,430.1969,481.4048,-6.48,42.0
2023-09-22,LIC HOUSING FINANCE LTD,BUY,STREAK_7,446.5135,,446.5135,,
2023-09-29,INDIAMART INTERMESH LIMITED,SELL,TSL_EXIT,2147.3755,2795.1802,3175.7844,30.17,245.0
2023-09-29,ABB INDIA LIMITED,SELL,TSL_EXIT,3294.2109,4045.6399,4559.5571,22.81,189.0
2023-09-29,CHOICE INTERNATIONAL LIMITED,BUY,STREAK_7,210.575,,210.575,,
2023-09-29,CHENNAI PETROLEUM CORPORATION LIMITED,BUY,STREAK_6,479.8296,,479.8296,,
2023-10-13,ZYDUS LIFESCIENCES LIMITED,SELL,TSL_EXIT,462.6588,583.7898,652.4302,26.18,245.0
2023-10-13,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,BUY,STREAK_5,391.1084,,391.1084,,
2023-10-20,HAVELLS INDIA LIMITED,SELL,TSL_EXIT,1175.1174,1273.7229,1428.6837,8.39,259.0
2023-10-20,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,SELL,TSL_EXIT,2714.1135,3632.342,4066.8669,33.83,259.0
2023-10-20,EICHER MOTORS LIMITED,BUY,STREAK_6,3398.6851,,3398.6851,,
