TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,NEW BUY (rank=2),MON100,Motilal Oswal NASDAQ 100 ETF,2020-08-03,,,80.537,,2451.9351,,20.0,,BULL
BUY,NEW BUY (rank=5),NV20,Kotak Nifty 50 Value 20 ETF,2020-08-03,,,57.8,,4922.5464,,20.0,,BULL
BUY,NEW BUY (rank=5),IVZINGOLD,Invesco India Gold ETF,2020-08-03,,,5145.4502,,51.3472,,20.0,,BULL
SELL,MONTHLY_FLUSH,GOLDBETA,UTI Gold ETF,2020-08-03,2020-09-01,29.0,49.019,47.3335,6935.6259,-11690.0,20.0,-11710.0,BULL
SELL,MONTHLY_FLUSH,QGOLDHALF,Quantum Gold ETF,2020-08-03,2020-09-01,29.0,46.991,45.206,6137.0835,-10954.69,20.0,-10974.69,BULL
SELL,MONTHLY_FLUSH,MON100,Motilal Oswal NASDAQ 100 ETF,2020-08-03,2020-09-01,29.0,80.537,87.575,2451.9351,17256.72,20.0,17236.72,BULL
SELL,MONTHLY_FLUSH,NV20,Kotak Nifty 50 Value 20 ETF,2020-08-03,2020-09-01,29.0,57.8,58.34,4922.5464,2658.18,20.0,2638.18,BULL
SELL,MONTHLY_FLUSH,IVZINGOLD,Invesco India Gold ETF,2020-08-03,2020-09-01,29.0,5145.4502,4783.5498,51.3472,-18582.59,20.0,-18602.59,BULL
BUY,NEW BUY (rank=1),MON100,Motilal Oswal NASDAQ 100 ETF,2020-09-01,,,87.575,,2254.9063,,20.0,,BULL
BUY,NEW BUY (rank=2),NV20IETF,ICICI Pru Nifty50 Value 20 ETF,2020-09-01,,,5.795,,63579.8345,,20.0,,BULL
BUY,NEW BUY (rank=2),GOLDBETA,UTI Gold ETF,2020-09-01,,,47.3335,,5323.9298,,20.0,,BULL
BUY,NEW BUY (rank=5),QGOLDHALF,Quantum Gold ETF,2020-09-01,,,45.206,,5391.1262,,20.0,,BULL
BUY,NEW BUY (rank=5),NV20,Kotak Nifty 50 Value 20 ETF,2020-09-01,,,58.34,,4995.2343,,20.0,,BULL
SELL,MONTHLY_FLUSH,MON100,Motilal Oswal NASDAQ 100 ETF,2020-09-01,2020-10-01,30.0,87.575,82.766,2254.9063,-10843.84,20.0,-10863.84,BULL
SELL,MONTHLY_FLUSH,NV20IETF,ICICI Pru Nifty50 Value 20 ETF,2020-09-01,2020-10-01,30.0,5.795,5.836,63579.8345,2606.77,20.0,2586.77,BULL
SELL,MONTHLY_FLUSH,GOLDBETA,UTI Gold ETF,2020-09-01,2020-10-01,30.0,47.3335,45.684,5323.9298,-8781.82,20.0,-8801.82,BULL
SELL,MONTHLY_FLUSH,QGOLDHALF,Quantum Gold ETF,2020-09-01,2020-10-01,30.0,45.206,43.839,5391.1262,-7369.67,20.0,-7389.67,BULL
SELL,MONTHLY_FLUSH,NV20,Kotak Nifty 50 Value 20 ETF,2020-09-01,2020-10-01,30.0,58.34,59.01,4995.2343,3346.81,20.0,3326.81,BULL
BUY,NEW BUY (rank=1),MID150BEES,Nippon IndiaETF NiftyMidcap150,2020-10-01,,,65.76,,3438.2243,,20.0,,BULL
BUY,NEW BUY (rank=3),NV20BEES,NipponINETFNifty 50 Value 20,2020-10-01,,,60.12,,4098.215,,20.0,,BULL
