TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
SELL,"Dropped intersection (SharpeRk=24.0, ClenowRk=13.0)",FMCGIETF,ICICI Pru Nifty FMCG ETF,2023-05-02,2023-07-31,90.0,49.118,54.401,5061.9348,26742.2,20.0,26722.2,BULL
BUY,"NEW BUY (SharpeRk=4,ClenowRk=1)",ALPHA,Kotak Nifty Alpha 50 ETF,2023-07-31,,,32.89,,8195.901,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=28.0, ClenowRk=31.0)",SBIETFCON,SBI Nifty Consumption ETF,2023-06-05,2023-08-07,63.0,81.61,84.2,3066.7783,7942.96,20.0,7922.96,BULL
BUY,"NEW BUY (SharpeRk=6,ClenowRk=3)",HEALTHY,BSL Nifty Healthcare ETF,2023-08-07,,,9.9,,26930.5161,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=24.0, ClenowRk=17.0)",HEALTHY,BSL Nifty Healthcare ETF,2023-08-07,2023-09-25,49.0,9.9,9.6,26930.5161,-8079.15,20.0,-8099.15,BULL
BUY,"NEW BUY (SharpeRk=4,ClenowRk=2)",HDFCSML250,HDFC NIFTY Smallcap 250 ETF,2023-09-25,,,120.73,,2309.2907,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=18.0, ClenowRk=26.0)",AUTOBEES,Nippon India Nifty Auto ETF,2023-06-05,2023-10-09,126.0,147.1164,160.8157,1701.2364,23305.75,20.0,23285.75,BULL
BUY,"NEW BUY (SharpeRk=7,ClenowRk=1)",CPSEETF,CPSE ETF,2023-10-09,,,51.8,,5333.8451,,20.0,,BULL
SELL,TSL 5.9%,MOM100,MotilalOswal NiftyMidcap100ETF,2023-05-29,2023-10-23,147.0,35.66,41.43,7012.0574,40459.57,20.0,40439.57,BULL
BUY,"NEW BUY (SharpeRk=3,ClenowRk=10)",MID150BEES,Nippon IndiaETF NiftyMidcap150,2023-10-23,,,149.24,,1837.9434,,20.0,,BULL
SELL,REGIME_SLOT_CUT,ICICIB22,Bharat 22 ETF,2023-05-15,2023-10-30,168.0,63.06,73.82,3975.803,42779.64,20.0,42759.64,BEAR
SELL,REGIME_SLOT_CUT,ALPHA,Kotak Nifty Alpha 50 ETF,2023-07-31,2023-10-30,91.0,32.89,34.01,8195.901,9179.41,20.0,9159.41,BEAR
SELL,REGIME_SLOT_CUT,HDFCSML250,HDFC NIFTY Smallcap 250 ETF,2023-09-25,2023-10-30,35.0,120.73,120.93,2309.2907,461.86,20.0,441.86,BEAR
SELL,REGIME_SLOT_CUT,CPSEETF,CPSE ETF,2023-10-09,2023-10-30,21.0,51.8,53.04,5333.8451,6613.97,20.0,6593.97,BEAR
SELL,REGIME_SLOT_CUT,MID150BEES,Nippon IndiaETF NiftyMidcap150,2023-10-23,2023-10-30,7.0,149.24,148.91,1837.9434,-606.52,20.0,-626.52,BEAR
BUY,"NEW BUY (SharpeRk=1,ClenowRk=1)",CPSEETF,CPSE ETF,2023-11-06,,,54.35,,5061.9882,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=6)",HDFCSML250,HDFC NIFTY Smallcap 250 ETF,2023-11-06,,,124.39,,2211.7458,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=5,ClenowRk=7)",ALPHA,Kotak Nifty Alpha 50 ETF,2023-11-06,,,35.18,,7820.3257,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=4,ClenowRk=7)",ICICIB22,Bharat 22 ETF,2023-11-13,,,77.77,,3604.7332,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=10,ClenowRk=2)",MOVALUE,Motilal Osw BSE EnhVal ETF,2023-11-13,,,66.99,,4184.8053,,20.0,,BULL
SELL,TSL 5.3%,CPSEETF,CPSE ETF,2023-11-06,2024-02-12,98.0,54.35,74.99,5061.9882,104479.44,20.0,104459.44,BULL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=1)",CPSEETF,CPSE ETF,2024-02-12,,,74.99,,4686.9669,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=29.0, ClenowRk=18.0)",HDFCSML250,HDFC NIFTY Smallcap 250 ETF,2023-11-06,2024-02-19,105.0,124.39,152.35,2211.7458,61840.41,20.0,61820.41,BULL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=10)",MOMENTUM,Aditya BSL Nifty200 Mmt 30 ETF,2024-02-19,,,30.63,,12086.91,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=25.0, ClenowRk=16.0)",ALPHA,Kotak Nifty Alpha 50 ETF,2023-11-06,2024-03-11,126.0,35.18,45.07,7820.3257,77343.02,20.0,77323.02,BULL
SELL,"Dropped intersection (SharpeRk=22.0, ClenowRk=2.0)",MOVALUE,Motilal Osw BSE EnhVal ETF,2023-11-13,2024-03-11,119.0,66.99,95.21,4184.8053,118095.2,20.0,118075.2,BULL
BUY,"NEW BUY (SharpeRk=6,ClenowRk=4)",PSUBANK,Kotak Nifty PSU Bank ETF,2024-03-11,,,721.43,,520.8795,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=10)",ALPL30IETF,ICICI Nifty Alp Lw- Vol 30 ETF,2024-03-11,,,26.9,,13969.447,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=30.0, ClenowRk=7.0) | TSL 6.8%",ICICIB22,Bharat 22 ETF,2023-11-13,2024-03-18,126.0,77.77,97.22,3604.7332,70112.06,20.0,70092.06,BULL
SELL,TSL 8.5%,CPSEETF,CPSE ETF,2024-02-12,2024-03-18,35.0,74.99,76.54,4686.9669,7264.8,20.0,7244.8,BULL
SELL,"Dropped intersection (SharpeRk=22.0, ClenowRk=9.0) | TSL 5.3%",MOMENTUM,Aditya BSL Nifty200 Mmt 30 ETF,2024-02-19,2024-03-18,28.0,30.63,29.98,12086.91,-7856.49,20.0,-7876.49,BULL
SELL,TSL 6.3%,PSUBANK,Kotak Nifty PSU Bank ETF,2024-03-11,2024-03-18,7.0,721.43,676.02,520.8795,-23653.14,20.0,-23673.14,BULL
BUY,"NEW BUY (SharpeRk=8,ClenowRk=1)",CPSEETF,CPSE ETF,2024-03-18,,,76.54,,4636.797,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=8,ClenowRk=8)",INFRABEES,Nippon IN ETF Nifty Infra BeES,2024-03-18,,,832.32,,426.399,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=16)",HEALTHY,BSL Nifty Healthcare ETF,2024-03-18,,,12.01,,29550.4113,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=15,ClenowRk=3)",PSUBANK,Kotak Nifty PSU Bank ETF,2024-03-18,,,676.02,,524.9851,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=22.0, ClenowRk=13.0)",INFRABEES,Nippon IN ETF Nifty Infra BeES,2024-03-18,2024-04-22,35.0,832.32,870.9,426.399,16450.47,20.0,16430.47,BULL
SELL,"Dropped intersection (SharpeRk=17.0, ClenowRk=23.0)",HEALTHY,BSL Nifty Healthcare ETF,2024-03-18,2024-04-22,35.0,12.01,12.01,29550.4113,0.0,20.0,-20.0,BULL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=1)",AUTOBEES,Nippon India Nifty Auto ETF,2024-04-22,,,221.361,,1666.9287,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=3,ClenowRk=3)",SETFNN50,SBI Nifty Next 50 ETF,2024-04-22,,,656.0,,562.4893,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=12.0, ClenowRk=21.0)",ALPL30IETF,ICICI Nifty Alp Lw- Vol 30 ETF,2024-03-11,2024-05-13,63.0,26.9,27.13,13969.447,3212.97,20.0,3192.97,BULL
