date,equity,regime,n_holdings
2022-04-21,1426975.8377743764,BULL,5
2022-04-22,1414827.015141802,BULL,5
2022-04-25,1387667.8370985356,BULL,5
2022-04-26,1393878.059641103,BULL,5
2022-04-27,1382171.4988056205,BULL,5
2022-04-28,1392278.2780746727,BULL,5
2022-04-29,1386464.9475664014,BULL,5
2022-05-02,1372178.366285743,BEAR,0
2022-05-04,1372253.55414143,BEAR,0
2022-05-05,1372328.7461169995,BEAR,0
2022-05-06,1372403.9422126773,BEAR,0
2022-05-09,1372479.1424286892,BEAR,0
2022-05-10,1372554.3467652607,BEAR,0
2022-05-11,1372629.5552226177,BEAR,0
2022-05-12,1372704.767800986,BEAR,0
2022-05-13,1372779.9845005916,BEAR,0
2022-05-16,1372855.2053216603,BEAR,0
2022-05-17,1372930.4302644178,BEAR,0
2022-05-18,1373005.6593290898,BEAR,0
2022-05-19,1373080.8925159024,BEAR,0
2022-05-20,1373156.1298250814,BEAR,0
2022-05-23,1373231.3712568528,BEAR,0
2022-05-24,1373306.6168114422,BEAR,0
2022-05-25,1373381.8664890758,BEAR,0
2022-05-26,1373457.1202899795,BEAR,0
2022-05-27,1373532.378214379,BEAR,0
2022-05-30,1373607.6402625006,BEAR,0
2022-05-31,1373682.90643457,BEAR,0
2022-06-01,1373758.176730813,BEAR,0
2022-06-02,1373833.451151456,BEAR,0
2022-06-03,1373908.7296967246,BEAR,0
2022-06-06,1373984.012366845,BEAR,0
2022-06-07,1374059.2991620433,BEAR,0
2022-06-08,1374134.5900825453,BEAR,0
2022-06-09,1374209.8851285772,BEAR,0
2022-06-10,1374285.1843003652,BEAR,0
2022-06-13,1374360.4875981351,BEAR,0
2022-06-14,1374435.7950221132,BEAR,0
2022-06-15,1374511.1065725256,BEAR,0
2022-06-16,1374586.4222495982,BEAR,0
2022-06-17,1374661.7420535572,BEAR,0
2022-06-20,1374737.0659846286,BEAR,0
2022-06-21,1374812.3940430388,BEAR,0
2022-06-22,1374887.7262290139,BEAR,0
2022-06-23,1374963.0625427798,BEAR,0
2022-06-24,1375038.402984563,BEAR,0
2022-06-27,1375113.7475545898,BEAR,0
2022-06-28,1375189.096253086,BEAR,0
2022-06-29,1375264.4490802782,BEAR,0
2022-06-30,1375339.8060363922,BEAR,0
2022-07-01,1375415.1671216546,BEAR,0
2022-07-04,1375490.5323362916,BEAR,0
2022-07-05,1375565.9016805294,BEAR,0
2022-07-06,1375641.275154594,BEAR,0
2022-07-07,1375716.6527587122,BEAR,0
2022-07-08,1375792.03449311,BEAR,0
2022-07-11,1375867.4203580138,BEAR,0
2022-07-12,1375942.81035365,BEAR,0
2022-07-13,1376018.2044802448,BEAR,0
2022-07-14,1376093.6027380247,BEAR,0
2022-07-15,1376169.005127216,BEAR,0
2022-07-18,1376244.411648045,BEAR,0
2022-07-19,1376319.8223007382,BEAR,0
2022-07-20,1376395.237085522,BEAR,0
2022-07-21,1376470.6560026226,BEAR,0
2022-07-22,1376546.0790522667,BEAR,0
2022-07-25,1376561.5062346803,PARTIAL,3
2022-07-26,1374437.647885413,PARTIAL,3
2022-07-27,1371892.6577724454,PARTIAL,3
2022-07-28,1375090.3890216404,PARTIAL,3
2022-07-29,1371882.4473284727,PARTIAL,3
2022-08-01,1376508.7930866056,PARTIAL,3
2022-08-02,1370536.2996010247,PARTIAL,3
2022-08-03,1372974.19156445,PARTIAL,3
2022-08-04,1377432.1158008766,PARTIAL,3
2022-08-05,1376919.961232021,PARTIAL,3
2022-08-08,1379631.4500666028,PARTIAL,3
2022-08-10,1377728.3357221154,PARTIAL,3
2022-08-11,1374574.919154651,PARTIAL,3
