date,equity
08-09-2022,1415123.6945104976
09-09-2022,1420234.6606928976
12-09-2022,1428679.5359012205
13-09-2022,1433707.4128390567
14-09-2022,1438958.3284617101
15-09-2022,1441467.548128494
16-09-2022,1409529.6493433418
19-09-2022,1421575.5058661564
20-09-2022,1436530.8223916644
21-09-2022,1431769.7111647436
22-09-2022,1439076.117503189
23-09-2022,1414399.033219762
26-09-2022,1373111.5001690546
27-09-2022,1372512.174832797
28-09-2022,1365198.6919735079
29-09-2022,1364858.8106220695
30-09-2022,1375134.6635650706
03-10-2022,1350880.989888786
04-10-2022,1363102.702866578
06-10-2022,1366510.8647170523
07-10-2022,1364437.356995466
10-10-2022,1353819.9189921888
11-10-2022,1342862.4749894247
12-10-2022,1349042.4970999248
13-10-2022,1346204.0786916898
14-10-2022,1348340.7690193127
17-10-2022,1346477.4284158067
18-10-2022,1355198.640748105
19-10-2022,1356091.197
20-10-2022,1358504.019924595
21-10-2022,1357641.0931706661
24-10-2022,1364407.7649579374
25-10-2022,1356870.911578632
27-10-2022,1360226.316215809
28-10-2022,1360259.811034288
31-10-2022,1368761.1025763252
01-11-2022,1374079.959289555
02-11-2022,1371574.4536445916
03-11-2022,1378461.653130842
04-11-2022,1380238.4929028116
07-11-2022,1401508.3240505713
09-11-2022,1410995.181029144
10-11-2022,1398390.736048039
11-11-2022,1404847.953597561
14-11-2022,1400079.0559367202
15-11-2022,1409296.1284781331
16-11-2022,1411706.2061510384
17-11-2022,1416040.428377692
18-11-2022,1413995.0072272283
21-11-2022,1416446.668
22-11-2022,1426132.3273944547
23-11-2022,1431409.3020109818
24-11-2022,1443377.0479153707
25-11-2022,1447783.658371833
28-11-2022,1448806.4228298496
29-11-2022,1448559.299995571
30-11-2022,1448575.8206296146
01-12-2022,1453771.0536469712
02-12-2022,1451550.364920745
05-12-2022,1461593.310575106
06-12-2022,1461797.2506902374
07-12-2022,1458461.7852138022
08-12-2022,1481332.1360338123
09-12-2022,1474030.7102994071
12-12-2022,1478982.409985774
13-12-2022,1495841.7266954326
14-12-2022,1501394.6010430073
15-12-2022,1482273.7729575085
16-12-2022,1465740.9951746343
19-12-2022,1471941.9398656464
20-12-2022,1466535.9949712849
21-12-2022,1442805.6919816956
22-12-2022,1432484.5313994212
23-12-2022,1395967.5180196732
26-12-2022,1420215.1834156571
27-12-2022,1424196.0328409772
28-12-2022,1423797.789217938
29-12-2022,1431973.1550313414
30-12-2022,1430485.3678982686
02-01-2023,1432794.2713533896
03-01-2023,1438162.4306226233
04-01-2023,1426969.041288262
05-01-2023,1423291.0185621222
06-01-2023,1416292.1438571769
09-01-2023,1424240.3224761498
10-01-2023,1408840.499442283
11-01-2023,1413242.8860842886
12-01-2023,1410153.6438294076
13-01-2023,1418297.3753058426
16-01-2023,1420366.488840443
17-01-2023,1417554.029824296
18-01-2023,1415048.0542416524
19-01-2023,1413247.7983396803
20-01-2023,1416093.7708627167
23-01-2023,1422415.702276295
24-01-2023,1415797.598521597
25-01-2023,1394707.7442590364
27-01-2023,1369160.2428627522
30-01-2023,1368669.227877663
31-01-2023,1372455.491187822
01-02-2023,1369244.1774966088
02-02-2023,1375414.1494084543
03-02-2023,1369919.6753890056
06-02-2023,1368035.629417261
07-02-2023,1367540.2116419363
08-02-2023,1369266.5970075112
09-02-2023,1368771.1858112367
10-02-2023,1366331.7030347262
13-02-2023,1366114.023399656
14-02-2023,1367007.2469804736
15-02-2023,1364012.324111565
16-02-2023,1363794.6543475036
17-02-2023,1361910.6379855403
20-02-2023,1365025.6745802497
21-02-2023,1363697.1147630871
22-02-2023,1364312.6331071942
23-02-2023,1362706.3548912548
24-02-2023,1361933.254911213
27-02-2023,1360049.258297218
28-02-2023,1360109.3398452136
01-03-2023,1363184.0680355916
02-03-2023,1363470.8229249544
03-03-2023,1362849.5882062963
06-03-2023,1363136.3496445147
08-03-2023,1359166.8977213732
09-03-2023,1359226.667488575
10-03-2023,1361896.9200676137
13-03-2023,1369050.3907785334
14-03-2023,1374501.3781104456
15-03-2023,1370248.194787743
16-03-2023,1374223.7
17-03-2023,1374567.2374331553
20-03-2023,1381096.4794163217
21-03-2023,1378262.0480764762
22-03-2023,1375711.3677888594
23-03-2023,1378665.3976272135
24-03-2023,1381903.1785181554
27-03-2023,1378104.0178478477
28-03-2023,1378674.5762011008
29-03-2023,1380039.6316038077
31-03-2023,1382369.4327215892
03-04-2023,1380290.202400825
05-04-2023,1378053.9717184226
06-04-2023,1371060.217258389
10-04-2023,1372870.6254470928
11-04-2023,1374681.0369515861
12-04-2023,1373921.2934574112
13-04-2023,1370974.1845009727
17-04-2023,1372675.2375150053
18-04-2023,1374102.8727482522
19-04-2023,1371101.0895219035
20-04-2023,1369958.5730740894
21-04-2023,1369308.2179184807
24-04-2023,1369587.497810943
25-04-2023,1366202.9383169825
26-04-2023,1367029.067039082
27-04-2023,1367308.3568843661
28-04-2023,1373931.0195050305
02-05-2023,1375631.0646847948
03-05-2023,1375432.4977424722
04-05-2023,1374464.7533549876
05-05-2023,1378004.535268398
08-05-2023,1382874.407879233
09-05-2023,1387289.0307870768
10-05-2023,1388110.3085128139
11-05-2023,1396301.4216718855
12-05-2023,1400968.8968804434
15-05-2023,1402204.0367080406
16-05-2023,1402433.3797617424
17-05-2023,1406559.5914774165
18-05-2023,1409396.2897652523
19-05-2023,1419621.5294356593
22-05-2023,1418944.9132346434
23-05-2023,1422300.4687095175
24-05-2023,1423161.4186375972
25-05-2023,1427366.449499675
26-05-2023,1433330.9716662634
29-05-2023,1446000.7097500367
30-05-2023,1453348.963268439
31-05-2023,1452298.8128287871
01-06-2023,1449096.8935349472
02-06-2023,1459121.747550496
05-06-2023,1461618.1678011059
06-06-2023,1466642.103644367
07-06-2023,1476679.9702331661
08-06-2023,1465855.485655219
09-06-2023,1466984.6130523074
12-06-2023,1473533.0749621573
13-06-2023,1490114.3796188044
14-06-2023,1494240.7942115355
15-06-2023,1499605.4615325453
16-06-2023,1510879.8957088594
19-06-2023,1507917.1234683676
20-06-2023,1506619.4896848337
21-06-2023,1503362.8163110078
22-06-2023,1489099.8883088895
23-06-2023,1483918.007511029
26-06-2023,1486305.1511020472
27-06-2023,1490483.4807343094
28-06-2023,1495821.558797211
30-06-2023,1503261.5418489592
03-07-2023,1510442.7148528285
04-07-2023,1508253.8351367365
05-07-2023,1518401.5385539955
06-07-2023,1524327.8945318486
07-07-2023,1525550.6749344477
10-07-2023,1519552.1422712326
11-07-2023,1527277.3006369146
12-07-2023,1530332.5617526313
13-07-2023,1525527.4639411655
14-07-2023,1538150.1627093605
17-07-2023,1540487.176531664
18-07-2023,1539540.6811991618
19-07-2023,1543472.7750419157
20-07-2023,1551389.8055976871
21-07-2023,1546235.293799691
24-07-2023,1545154.9020079344
25-07-2023,1543197.1854551546
26-07-2023,1551785.293597827
27-07-2023,1551166.5088461402
28-07-2023,1552291.3018980983
31-07-2023,1556838.8219652367
01-08-2023,1557860.657884491
02-08-2023,1542696.9383945363
03-08-2023,1540462.6132218947
04-08-2023,1552534.486483123
07-08-2023,1563062.6203242044
08-08-2023,1565758.4015707013
09-08-2023,1573394.4366364062
10-08-2023,1563124.6040900277
11-08-2023,1561115.7545189823
14-08-2023,1555305.9422664654
16-08-2023,1561150.1010264994
17-08-2023,1560308.447373438
18-08-2023,1555657.2856077442
21-08-2023,1565405.9736717972
22-08-2023,1571340.7685566107
23-08-2023,1576312.906
24-08-2023,1574109.3046436212
25-08-2023,1560899.0852355522
28-08-2023,1568643.3162513839
29-08-2023,1572932.5548658753
30-08-2023,1580117.0473283578
31-08-2023,1578219.5127515206
01-09-2023,1588054.8647874612
04-09-2023,1606093.152395436
05-09-2023,1619350.337294763
06-09-2023,1623728.5414251885
07-09-2023,1632447.9178164708
08-09-2023,1649620.1202931518
11-09-2023,1661101.5505843358
12-09-2023,1626141.135572116
13-09-2023,1637178.1757722313
14-09-2023,1648470.5131593244
15-09-2023,1648828.5737716632
18-09-2023,1651186.0943784658
20-09-2023,1646368.061033794
21-09-2023,1631768.1936737348
22-09-2023,1624952.2725073667
25-09-2023,1627742.1146970573
26-09-2023,1628396.2847445556
27-09-2023,1640252.7269044584
