ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
GALLANTT,atr_chandelier_stop,2025-04-11,355.37,2025-08-29,612.92,549,21,72.47,141394.95
NAZARA,trend_reversal_23wma,2025-05-16,278.75,2025-08-29,288.0,703,16,3.32,6502.75
MANORAMA,trend_reversal_23wma,2025-05-09,1364.42,2025-09-12,1355.0,145,19,-0.69,-1365.9
NAVINFLUOR,trend_reversal_23wma,2025-02-07,4105.74,2025-10-03,4564.62,49,35,11.18,22485.12
SBILIFE,trend_reversal_23wma,2025-05-02,1687.65,2025-10-03,1811.48,118,23,7.34,14611.94
UPL,trend_reversal_23wma,2025-08-01,718.05,2025-10-03,641.79,314,10,-10.62,-23945.64
STARCEMENT,atr_chandelier_stop,2025-08-08,242.54,2025-10-03,251.9,920,9,3.86,8611.2
FORCEMOT,atr_chandelier_stop,2025-03-28,8521.19,2025-10-10,16807.0,23,29,97.24,190573.63
DATAMATICS,atr_chandelier_stop,2025-08-01,874.8,2025-10-24,846.0,258,13,-3.29,-7430.4
TATAINVEST,atr_chandelier_stop,2025-10-03,878.52,2025-10-31,840.66,259,5,-4.31,-9805.74
MAHSCOOTER,trend_reversal_23wma,2025-04-04,11022.26,2025-11-07,15035.8,18,32,36.41,72243.72
ETERNAL,atr_chandelier_stop,2025-08-01,310.0,2025-11-14,304.25,728,16,-1.85,-4186.0
KAYNES,trend_reversal_23wma,2025-09-12,6984.5,2025-11-14,6225.0,32,10,-10.87,-24304.0
NETWEB,stop_loss_20pct,2025-10-10,4315.31,2025-11-14,3457.74,53,6,-19.87,-45451.21
SARDAEN,atr_chandelier_stop,2025-08-29,604.7,2025-11-21,513.0,379,13,-15.16,-34754.3
LEMONTREE,trend_reversal_23wma,2025-08-29,170.52,2025-11-21,156.52,1346,13,-8.21,-18844.0
GABRIEL,trend_reversal_23wma,2025-03-28,595.29,2025-11-28,1027.9,339,36,72.67,146654.79
HBLENGINE,atr_chandelier_stop,2025-08-22,767.02,2025-11-28,897.18,295,15,16.97,38397.2
NLCINDIA,trend_reversal_23wma,2025-10-03,276.36,2025-11-28,240.82,825,9,-12.86,-29320.5
CHOICEIN,trend_reversal_23wma,2025-05-02,635.7,2025-12-12,765.0,314,33,20.34,40600.2
CHENNPETRO,atr_chandelier_stop,2025-11-07,923.59,2025-12-26,844.11,257,8,-8.61,-20426.36
HCG,trend_reversal_23wma,2025-04-25,601.95,2026-01-02,657.05,332,37,9.15,18293.2
PRIVISCL,atr_chandelier_stop,2025-10-31,2909.04,2026-01-09,2758.26,79,11,-5.18,-11911.62
CCL,atr_chandelier_stop,2025-11-14,1012.17,2026-01-09,909.59,230,9,-10.13,-23593.4
CARTRADE,trend_reversal_23wma,2025-08-08,2179.9,2026-01-16,2645.2,102,24,21.35,47460.6
TDPOWERSYS,atr_chandelier_stop,2025-10-10,642.49,2026-01-16,669.35,359,15,4.18,9642.74
BLACKBUCK,trend_reversal_23wma,2025-08-15,532.0,2026-01-23,625.45,417,24,17.57,38968.65
MARUTI,atr_chandelier_stop,2025-08-29,14257.81,2026-01-23,15701.31,16,22,10.12,23096.0
V2RETAIL,trend_reversal_23wma,2025-10-10,230.0,2026-01-23,204.43,1004,16,-11.12,-25672.28
SHRIPISTON,atr_chandelier_stop,2025-12-19,3126.09,2026-01-23,2858.25,72,6,-8.57,-19284.48
LTTS,trend_reversal_23wma,2025-12-19,4593.31,2026-01-23,3873.32,49,6,-15.67,-35279.51
ASHAPURMIN,trend_reversal_23wma,2025-07-25,571.08,2026-01-30,685.0,398,28,19.95,45340.16
