ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
CHOICEIN,trend_reversal_23wma,2025-05-02,635.7,2025-12-12,765.0,273,33,20.34,35298.9
CHENNPETRO,atr_chandelier_stop,2025-11-14,971.6,2025-12-26,844.11,200,7,-13.12,-25498.0
SHAILY,trend_reversal_23wma,2025-09-05,2230.13,2026-01-09,2246.6,83,19,0.74,1367.01
PRIVISCL,atr_chandelier_stop,2025-11-14,3361.76,2026-01-09,2758.26,57,9,-17.95,-34399.5
CARTRADE,trend_reversal_23wma,2025-08-08,2179.9,2026-01-16,2645.2,84,24,21.35,39085.2
M&MFIN,atr_chandelier_stop,2025-12-05,367.14,2026-01-16,338.88,535,7,-7.7,-15119.1
MARUTI,atr_chandelier_stop,2025-08-29,14257.81,2026-01-23,15701.31,13,22,10.12,18765.5
BLACKBUCK,trend_reversal_23wma,2025-08-29,643.95,2026-01-23,625.45,292,22,-2.87,-5402.0
V2RETAIL,trend_reversal_23wma,2025-10-10,230.0,2026-01-23,204.43,833,16,-11.12,-21299.81
SHRIPISTON,atr_chandelier_stop,2025-12-19,3126.09,2026-01-23,2858.25,62,6,-8.57,-16606.08
ANANDRATHI,trend_reversal_23wma,2025-07-25,1307.9,2026-01-30,1457.99,141,28,11.48,21162.69
JAYNECOIND,trend_reversal_23wma,2025-08-22,58.1,2026-01-30,70.65,3240,24,21.6,40662.0
EICHERMOT,atr_chandelier_stop,2025-09-12,6502.41,2026-01-30,6947.25,28,21,6.84,12455.52
PRICOLLTD,atr_chandelier_stop,2025-09-12,490.28,2026-01-30,581.0,381,21,18.5,34564.32
SANDUMA,atr_chandelier_stop,2025-10-10,198.0,2026-01-30,205.33,968,17,3.7,7095.44
GMRAIRPORT,trend_reversal_23wma,2025-11-28,104.68,2026-01-30,91.31,1866,10,-12.77,-24948.42
ZFCVINDIA,trend_reversal_23wma,2025-12-26,2590.34,2026-01-30,2266.9,76,6,-12.49,-24581.44
IDBI,atr_chandelier_stop,2026-01-09,115.46,2026-01-30,97.79,1780,4,-15.3,-31452.6
HINDCOPPER,atr_chandelier_stop,2026-01-09,554.06,2026-02-13,593.3,371,6,7.08,14558.04
CSBBANK,trend_reversal_23wma,2026-01-16,510.65,2026-02-13,415.0,387,5,-18.73,-37016.55
CUB,trend_reversal_23wma,2025-11-21,202.11,2026-03-13,188.73,988,17,-6.62,-13219.44
SHARDACROP,atr_chandelier_stop,2026-02-13,1183.9,2026-03-13,989.06,164,5,-16.46,-31953.76
