ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
GLENMARK,signal_reversal,2024-06-11,1203.17,2024-11-13,1562.17,105,108,29.84,37695.0
IIFLCAPS,signal_reversal,2024-11-06,395.91,2024-11-13,323.57,382,6,-18.27,-27633.88
SUDARSCHEM,signal_reversal,2024-03-20,580.77,2024-11-14,910.86,197,162,56.84,65027.73
PCJEWELLER,signal_reversal,2024-09-23,14.14,2024-11-14,13.95,11099,38,-1.34,-2108.81
GODFRYPHLP,signal_reversal,2024-03-21,962.29,2024-11-18,1926.65,119,162,100.22,114758.84
WEBELSOLAR,hard_stop_20pct,2024-11-07,153.82,2024-11-18,118.1,997,7,-23.22,-35612.84
NEWGEN,signal_reversal,2024-09-20,1268.47,2024-11-19,1041.19,122,41,-17.92,-27728.16
TEGA,signal_reversal,2024-10-03,1972.09,2024-11-19,1686.21,79,33,-14.5,-22584.52
IPCALAB,signal_reversal,2024-10-16,1681.66,2024-12-05,1496.22,91,35,-11.03,-16875.04
INDGN,signal_reversal,2024-12-04,625.0,2024-12-10,590.42,236,5,-5.53,-8160.88
NATIONALUM,signal_reversal,2024-12-05,230.45,2024-12-17,206.28,643,9,-10.49,-15541.31
COHANCE,signal_reversal,2024-09-20,1189.95,2024-12-20,1214.45,130,63,2.06,3185.0
MANYAVAR,signal_reversal,2024-10-31,1331.1,2024-12-23,1306.91,111,36,-1.82,-2685.09
REFEX,signal_reversal,2024-09-24,477.79,2024-12-24,482.81,329,63,1.05,1651.58
POLYMED,signal_reversal,2024-11-28,2704.25,2024-12-24,2531.3,52,19,-6.4,-8993.4
ANANDRATHI,signal_reversal,2024-12-09,1070.09,2024-12-24,982.17,139,12,-8.22,-12220.88
PRIVISCL,signal_reversal,2024-12-23,1756.44,2024-12-24,1736.54,83,2,-1.13,-1651.7
SKYGOLD,signal_reversal,2024-07-22,204.8,2025-01-07,360.15,650,117,75.85,100977.5
PPLPHARMA,signal_reversal,2024-11-06,274.82,2025-01-10,237.0,551,45,-13.76,-20838.82
RADICO,signal_reversal,2024-12-04,2386.24,2025-01-10,2371.29,61,27,-0.63,-911.95
ANUP,signal_reversal,2024-11-26,3692.27,2025-01-13,2982.56,39,34,-19.22,-27678.69
WOCKPHARMA,signal_reversal,2024-09-24,1015.0,2025-01-14,1325.45,155,77,30.59,48119.75
DIXON,signal_reversal,2024-11-12,15445.03,2025-01-14,15892.93,9,43,2.9,4031.1
AVALON,signal_reversal,2024-12-04,917.8,2025-01-14,863.0,160,29,-5.97,-8768.0
NEOGEN,signal_reversal,2024-12-27,2028.71,2025-01-14,1968.75,73,13,-2.96,-4377.08
FORTIS,signal_reversal,2024-08-19,536.3,2025-01-16,653.53,272,105,21.86,31886.56
WIPRO,signal_reversal,2024-12-11,285.6,2025-01-20,279.9,524,28,-2.0,-2986.8
AMBER,signal_reversal,2024-12-03,6130.0,2025-01-23,6314.55,24,37,3.01,4429.2
FSL,signal_reversal,2025-01-06,388.37,2025-01-23,341.28,390,14,-12.13,-18365.1
PGIL,hard_stop_20pct,2025-01-17,1669.54,2025-01-23,1285.56,86,5,-23.0,-33022.28
CONCORDBIO,signal_reversal,2024-12-02,2118.72,2025-01-28,1955.74,69,41,-7.69,-11245.62
LAURUSLABS,signal_reversal,2025-01-27,608.06,2025-01-28,534.0,233,2,-12.18,-17255.98
LLOYDSME,signal_reversal,2024-11-07,1013.14,2025-01-29,1208.42,151,57,19.27,29487.28
ASTERDM,signal_reversal,2024-11-12,432.67,2025-01-29,462.73,342,54,6.95,10280.52
SHAKTIPUMP,signal_reversal,2025-01-16,1100.92,2025-01-31,897.24,130,12,-18.5,-26478.4
PARADEEP,signal_reversal,2024-11-06,109.85,2025-02-11,103.33,1378,68,-5.94,-8984.56
JLHL,signal_reversal,2025-02-07,335.17,2025-02-12,302.38,410,4,-9.78,-13443.9
HCG,signal_reversal,2024-11-11,475.95,2025-02-20,477.0,315,72,0.22,330.75
BSE,signal_reversal,2024-11-08,1625.25,2025-03-03,1529.47,93,79,-5.89,-8907.54
KRN,signal_reversal,2025-02-21,855.0,2025-04-01,860.15,159,25,0.6,818.85
BLUEJET,signal_reversal,2025-02-07,832.54,2025-04-04,786.62,165,38,-5.52,-7576.8
