ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
TARC,signal_reversal,2025-04-07,134.35,2025-09-25,167.2,1293,118,24.45,42475.05
WIPRO,signal_reversal,2025-06-23,249.54,2025-10-09,235.16,755,76,-5.76,-10856.9
NH,signal_reversal,2025-03-04,1532.98,2025-10-17,1768.08,111,155,15.34,26096.1
TARIL,hard_stop_20pct,2025-08-05,563.0,2025-11-03,445.6,343,61,-20.85,-40268.2
INDIASHLTR,signal_reversal,2025-03-04,729.14,2025-11-11,840.91,235,170,15.33,26265.95
SHREECEM,signal_reversal,2024-12-03,26539.57,2025-11-12,27174.37,7,235,2.39,4443.6
RAMCOCEM,signal_reversal,2024-11-26,971.17,2025-11-13,1005.7,215,241,3.56,7423.95
BOSCHLTD,signal_reversal,2025-05-06,29870.35,2025-11-26,35690.14,6,142,19.48,34918.74
EIHOTEL,signal_reversal,2025-08-14,406.41,2025-12-04,375.15,464,76,-7.69,-14504.64
SARDAEN,signal_reversal,2025-08-05,516.7,2025-12-19,512.9,374,94,-0.74,-1421.2
NUVOCO,signal_reversal,2025-07-18,410.0,2025-12-24,362.65,485,109,-11.55,-22964.75
WELCORP,hard_stop_20pct,2025-11-03,966.79,2026-01-09,763.32,213,48,-21.05,-43339.11
LLOYDSENT,hard_stop_20pct,2025-12-23,74.15,2026-01-16,59.36,2673,18,-19.95,-39533.67
PGIL,hard_stop_20pct,2025-11-13,1788.88,2026-01-21,1377.6,115,49,-22.99,-47297.2
SAFARI,hard_stop_20pct,2025-11-26,2469.86,2026-01-21,1962.59,80,40,-20.54,-40581.6
BANCOINDIA,signal_reversal,2025-04-24,399.31,2026-01-23,568.6,464,190,42.4,78550.56
AVALON,hard_stop_20pct,2025-09-24,1013.0,2026-01-27,800.15,193,85,-21.01,-41080.05
LLOYDSME,hard_stop_20pct,2025-12-24,1390.57,2026-01-28,1100.04,141,24,-20.89,-40964.73
BLACKBUCK,signal_reversal,2025-08-07,563.7,2026-02-10,627.95,333,127,11.4,21395.25
BHARTIARTL,signal_reversal,2025-04-21,1859.26,2026-02-17,2002.79,98,209,7.72,14065.94
PIIND,hard_stop_20pct,2025-11-11,3799.99,2026-02-17,3052.11,54,69,-19.68,-40385.52
PVRINOX,signal_reversal,2025-08-12,1075.2,2026-02-18,1041.95,174,130,-3.09,-5785.5
HBLENGINE,signal_reversal,2025-08-12,690.41,2026-02-26,710.8,271,136,2.95,5525.69
CARTRADE,signal_reversal,2024-11-07,1200.1,2026-03-06,1778.3,170,330,48.18,98294.0
PRIVISCL,signal_reversal,2025-10-17,2732.33,2026-03-09,2869.95,74,97,5.04,10183.88
INDIACEM,hard_stop_20pct,2026-01-09,470.0,2026-03-10,372.0,412,41,-20.85,-40376.0
SIGNATURE,hard_stop_20pct,2026-02-17,1085.0,2026-03-12,845.0,168,17,-22.12,-40320.0
INDIAGLYCO,signal_reversal,2025-04-16,678.66,2026-03-13,877.13,266,228,29.24,52793.02
HOMEFIRST,hard_stop_20pct,2026-01-28,1236.22,2026-03-16,978.23,144,33,-20.87,-37150.56
ENGINERSIN,hard_stop_20pct,2026-02-17,229.46,2026-03-24,188.0,794,25,-18.07,-32919.24
BSOFT,hard_stop_20pct,2025-12-04,415.86,2026-03-30,326.18,477,79,-21.56,-42777.36
SOLARINDS,hard_stop_20pct,2026-03-09,15241.0,2026-04-01,12412.67,11,16,-18.56,-31111.63
SANDUMA,signal_reversal,2025-09-25,169.8,2026-05-01,210.61,1154,147,24.03,47094.74
UBL,hard_stop_20pct,2026-03-09,1710.93,2026-05-18,1357.84,104,47,-20.64,-36721.36
BEL,signal_reversal,2026-01-29,452.32,2026-05-21,420.0,400,76,-7.15,-12928.0
OIL,signal_reversal,2026-01-15,451.1,2026-05-25,492.5,423,87,9.18,17512.2
ULTRACEMCO,signal_reversal,2026-01-29,12502.8,2026-06-02,10919.12,14,84,-12.67,-22171.52
JINDALSTEL,signal_reversal,2026-01-30,1141.8,2026-06-19,1131.9,161,96,-0.87,-1593.9
MEDPLUS,hard_stop_20pct,2026-05-18,942.0,2026-07-23,717.15,206,49,-23.87,-46319.1
DMART,signal_reversal,2026-04-02,4228.4,2026-08-04,4023.0,39,87,-4.86,-8010.6
NTPC,signal_reversal,2025-09-25,343.76,2026-08-11,339.6,570,219,-1.21,-2371.2
NTPCGREEN,signal_reversal,2026-03-13,98.3,2026-08-11,91.85,1790,104,-6.56,-11545.5
MCX,open_at_backtest_end,2025-04-24,1227.31,2026-08-11,2759.3,151,326,124.83,231330.49
ACUTAAS,open_at_backtest_end,2025-08-01,1350.52,2026-08-11,3282.0,143,256,143.02,276201.64
BHARATFORG,open_at_backtest_end,2025-11-12,1404.13,2026-08-11,2093.1,145,188,49.07,99900.65
JINDALSAW,open_at_backtest_end,2026-01-22,189.73,2026-08-11,271.4,937,138,43.05,76524.79
AMBER,open_at_backtest_end,2026-02-10,7299.0,2026-08-11,7095.0,25,126,-2.79,-5100.0
CGPOWER,open_at_backtest_end,2026-02-19,710.65,2026-08-11,879.0,257,119,23.69,43265.95
POLYCAB,open_at_backtest_end,2026-02-26,8309.07,2026-08-11,9218.0,22,114,10.94,19996.46
ASTERDM,open_at_backtest_end,2026-03-09,666.43,2026-08-11,869.7,268,108,30.5,54476.36
