ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
NEULANDLAB,atr_chandelier_stop,2024-08-09,10870.89,2024-12-27,14112.21,16,21,29.82,51861.12
BANCOINDIA,atr_chandelier_stop,2024-11-29,558.67,2024-12-27,483.87,353,5,-13.39,-26404.4
KITEX,atr_chandelier_stop,2024-08-30,127.14,2025-01-03,231.05,1470,19,81.73,152747.7
MANORAMA,atr_chandelier_stop,2024-04-26,584.38,2025-01-17,984.58,273,39,68.48,109254.6
SKYGOLD,atr_chandelier_stop,2024-07-19,221.3,2025-01-17,351.0,794,27,58.61,102981.8
THYROCARE,trend_reversal_23wma,2024-08-02,247.65,2025-01-17,275.4,719,25,11.21,19952.25
GICRE,atr_chandelier_stop,2024-12-27,487.5,2025-01-17,404.83,421,4,-16.96,-34804.07
ABSLAMC,trend_reversal_23wma,2024-06-21,635.16,2025-01-24,721.59,267,32,13.61,23076.81
KFINTECH,atr_chandelier_stop,2024-08-16,1025.45,2025-01-24,1176.09,174,24,14.69,26211.36
AVALON,atr_chandelier_stop,2024-11-15,789.95,2025-01-24,820.0,245,11,3.8,7362.25
ITI,stop_loss_20pct,2025-01-10,473.4,2025-01-24,376.1,422,3,-20.55,-41060.6
MEDPLUS,trend_reversal_23wma,2024-12-13,853.2,2025-01-31,658.95,241,8,-22.77,-46814.25
GOKEX,atr_chandelier_stop,2024-12-20,1204.0,2025-01-31,991.0,171,7,-17.69,-36423.0
BSE,trend_reversal_23wma,2024-09-27,1325.98,2025-03-07,1529.47,145,24,15.35,29506.05
COCHINSHIP,atr_chandelier_stop,2025-05-23,2077.48,2025-07-18,1963.17,89,9,-5.5,-10173.59
GRSE,atr_chandelier_stop,2025-05-23,2506.4,2025-07-25,2586.83,74,10,3.21,5951.82
CEMPRO,atr_chandelier_stop,2025-05-23,655.84,2025-08-01,764.59,285,11,16.58,30993.75
SBFC,trend_reversal_23wma,2025-05-02,106.0,2025-08-08,100.73,1762,15,-4.97,-9285.74
NAZARA,trend_reversal_23wma,2025-05-23,312.0,2025-08-29,288.0,599,15,-7.69,-14376.0
GLENMARK,atr_chandelier_stop,2025-07-18,2164.79,2025-08-29,1936.15,90,7,-10.56,-20577.6
STARCEMENT,atr_chandelier_stop,2025-08-15,257.91,2025-10-03,251.9,740,8,-2.33,-4447.4
HEMIPROP,atr_chandelier_stop,2025-09-12,177.65,2025-10-17,145.75,1088,6,-17.96,-34707.2
DATAMATICS,atr_chandelier_stop,2025-08-01,874.8,2025-10-24,846.0,218,13,-3.29,-6278.4
TATAINVEST,atr_chandelier_stop,2025-10-03,878.52,2025-10-31,840.66,219,5,-4.31,-8291.34
GABRIEL,trend_reversal_23wma,2025-07-11,942.97,2025-11-28,1027.9,206,21,9.01,17495.58
AVALON,atr_chandelier_stop,2025-10-17,1213.0,2025-11-28,979.7,158,7,-19.23,-36861.4
LUMAXTECH,atr_chandelier_stop,2025-06-06,805.07,2026-01-30,1353.6,234,35,68.13,128356.02
ANANDRATHI,trend_reversal_23wma,2025-07-25,1307.9,2026-01-30,1457.99,148,28,11.48,22213.32
AVANTIFEED,atr_chandelier_stop,2026-02-20,1380.3,2026-03-13,1128.6,138,4,-18.24,-34734.6
TMB,atr_chandelier_stop,2025-11-07,490.38,2026-03-20,590.23,389,20,20.36,38841.65
3MINDIA,trend_reversal_23wma,2025-11-14,34559.5,2026-03-20,32514.12,5,19,-5.92,-10226.9
OIL,trend_reversal_23wma,2026-02-06,482.62,2026-05-15,457.0,396,15,-5.31,-10145.52
SUNTV,trend_reversal_23wma,2026-03-06,629.64,2026-05-15,572.5,307,11,-9.08,-17541.98
THANGAMAYL,trend_reversal_23wma,2025-11-14,3390.52,2026-05-22,3629.85,56,28,7.06,13402.48
GALLANTT,atr_chandelier_stop,2026-04-24,862.1,2026-05-29,701.0,225,6,-18.69,-36247.5
WOCKPHARMA,atr_chandelier_stop,2026-06-05,2377.0,2026-06-12,1900.0,84,2,-20.07,-40068.0
GMDCLTD,atr_chandelier_stop,2026-04-24,728.95,2026-06-19,622.2,266,9,-14.64,-28395.5
COALINDIA,trend_reversal_23wma,2026-01-09,419.72,2026-07-03,429.91,459,26,2.43,4677.21
BBOX,atr_chandelier_stop,2026-05-15,759.7,2026-07-17,915.0,260,10,20.44,40378.0
ADANIPOWER,atr_chandelier_stop,2026-04-24,198.5,2026-07-24,215.75,979,14,8.69,16887.75
MSTCLTD,atr_chandelier_stop,2026-06-26,692.75,2026-07-24,587.35,302,5,-15.21,-31830.8
KIRLPNU,atr_chandelier_stop,2026-05-08,1521.83,2026-07-31,1494.1,127,13,-1.82,-3521.71
SPARC,atr_chandelier_stop,2026-05-29,214.0,2026-07-31,217.49,905,10,1.63,3158.45
J&KBANK,atr_chandelier_stop,2026-03-06,116.2,2026-08-07,155.0,1664,23,33.39,64563.2
THANGAMAYL,atr_chandelier_stop,2026-06-12,5205.54,2026-08-07,5175.0,39,9,-0.59,-1191.06
THERMAX,trend_reversal_23wma,2026-04-24,4124.55,2026-08-14,4068.5,47,17,-1.36,-2634.35
AETHER,open_at_backtest_end,2025-11-28,920.0,2026-08-14,1591.6,204,38,73.0,137006.4
ANANDRATHI,open_at_backtest_end,2026-04-17,1766.48,2026-08-14,2101.5,109,18,18.97,36517.18
INOXINDIA,open_at_backtest_end,2026-04-24,1503.09,2026-08-14,1954.7,129,17,30.05,58257.69
ADANIENSOL,open_at_backtest_end,2026-05-01,1425.0,2026-08-14,1630.1,134,16,14.39,27483.4
