ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
THANGAMAYL,trend_reversal_23wma,2025-11-14,3390.52,2026-05-22,3629.85,50,28,7.06,11966.5
JAINREC,stop_loss_20pct,2026-05-15,557.9,2026-05-29,390.05,324,3,-30.09,-54383.4
GALLANTT,stop_loss_20pct,2026-04-24,862.1,2026-06-05,655.05,206,7,-24.02,-42652.3
AVANTIFEED,stop_loss_20pct,2026-02-20,1380.3,2026-06-12,1092.61,126,17,-20.84,-36248.94
COALINDIA,trend_reversal_23wma,2026-01-09,419.72,2026-07-03,429.91,414,26,2.43,4218.66
GMDCLTD,trend_reversal_23wma,2026-04-24,728.95,2026-07-03,584.55,244,11,-19.81,-35233.6
WOCKPHARMA,stop_loss_20pct,2026-06-05,2377.0,2026-07-17,1805.0,76,7,-24.06,-43472.0
ATLANTAELE,trend_reversal_23wma,2026-05-01,1812.1,2026-08-07,1588.0,96,15,-12.37,-21513.6
THERMAX,trend_reversal_23wma,2026-04-24,4124.55,2026-08-14,4068.5,43,17,-1.36,-2410.15
KIRLPNU,trend_reversal_23wma,2026-05-08,1521.83,2026-08-14,1495.0,117,15,-1.76,-3139.11
BBOX,trend_reversal_23wma,2026-05-15,759.7,2026-08-14,755.0,238,14,-0.62,-1118.6
TMB,open_at_backtest_end,2025-11-07,490.38,2026-08-14,875.95,353,41,78.63,136106.21
AETHER,open_at_backtest_end,2025-11-28,920.0,2026-08-14,1591.6,183,38,73.0,122902.8
J&KBANK,open_at_backtest_end,2026-03-06,116.2,2026-08-14,159.24,1523,24,37.04,65549.92
ANANDRATHI,open_at_backtest_end,2026-04-17,1766.48,2026-08-14,2101.5,99,18,18.97,33166.98
ADANIPOWER,open_at_backtest_end,2026-04-24,198.5,2026-08-14,209.0,897,17,5.29,9418.5
INOXINDIA,open_at_backtest_end,2026-04-24,1503.09,2026-08-14,1954.7,118,17,30.05,53289.98
ADANIENSOL,open_at_backtest_end,2026-05-01,1425.0,2026-08-14,1630.1,122,16,14.39,25022.2
HSCL,open_at_backtest_end,2026-05-01,576.22,2026-08-14,752.65,303,16,30.62,53458.29
TIPSMUSIC,open_at_backtest_end,2026-05-01,670.0,2026-08-14,645.35,260,16,-3.68,-6409.0
HFCL,open_at_backtest_end,2026-05-08,122.35,2026-08-14,207.98,1457,15,69.99,124762.91
SKYGOLD,open_at_backtest_end,2026-05-15,501.95,2026-08-14,719.4,360,14,43.32,78282.0
RRKABEL,open_at_backtest_end,2026-05-15,1937.42,2026-08-14,2759.5,93,14,42.43,76453.44
VIJAYA,open_at_backtest_end,2026-05-15,1280.0,2026-08-14,1351.1,141,14,5.55,10025.1
GLAND,open_at_backtest_end,2026-05-29,2352.03,2026-08-14,2581.5,73,12,9.76,16751.31
SPARC,open_at_backtest_end,2026-05-29,214.0,2026-08-14,213.21,813,12,-0.37,-642.27
THANGAMAYL,open_at_backtest_end,2026-06-12,5205.54,2026-08-14,5275.0,35,10,1.33,2431.1
BLUESTONE,open_at_backtest_end,2026-07-31,793.0,2026-08-14,814.5,242,3,2.71,5203.0
ASKAUTOLTD,open_at_backtest_end,2026-08-14,648.95,2026-08-14,648.95,296,1,0.0,0.0
RBA,open_at_backtest_end,2026-08-14,95.05,2026-08-14,95.05,2026,1,0.0,0.0
