Date,MF NAME,ISIN CODE,nav
2025-09-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.63140
2025-09-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.42000
2025-09-25,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.16560
2025-09-26,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.34780
2025-09-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.36570
2025-10-01,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.75590
2025-10-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.08120
2025-10-06,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.11330
2025-10-07,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.15460
2025-10-08,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.94780
2025-10-09,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.06210
2025-10-10,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.29690
2025-10-13,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.18470
2025-10-14,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,37.84960
2025-10-15,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.15940
2025-10-16,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.30490
2025-10-17,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.21410
2025-10-20,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.41670
2025-10-23,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.59080
2025-10-24,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.53490
2025-10-27,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.78520
2025-10-28,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.82100
2025-10-29,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.99350
2025-10-30,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.96630
2025-10-31,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.74830
2025-11-03,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,39.01850
2025-11-04,Motilal Oswal Nifty Smallcap 250 Index Fund- Direct Plan,INF247L01932,38.76330
