TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,TSL 5.3% >= 5%,SETFNIFBK,SETFNIFBK,2020-11-16,2021-03-22,284.03,335.82,832.1331,43076.18,RISK-ON
BUY,"NEW BUY (rank=6, cutoff=57)",HDFCNIFBAN,HDFCNIFBAN,2021-03-22,,33.58,,8192.2635,,RISK-ON
SELL,TSL 5.0% >= 5%,HDFCNIFBAN,HDFCNIFBAN,2021-03-22,2021-04-19,33.58,31.06,8192.2635,-20664.5,RISK-ON
BUY,"NEW BUY (rank=7, cutoff=57)",JUNIORBEES,JUNIORBEES,2021-04-19,,356.69,,753.9399,,RISK-ON
SELL,TSL 6.3% >= 5%,NV20IETF,NV20IETF,2021-02-08,2021-04-26,7.75,7.69,35756.067,-2165.36,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=57)",HDFCNIFTY,HDFCNIFTY,2021-05-03,,162.83,,1675.3467,,RISK-ON
SELL,Rank 71 > 57,HDFCNIFTY,HDFCNIFTY,2021-05-03,2021-05-17,162.83,162.83,1675.3467,-20.0,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=57)",NV20IETF,NV20IETF,2021-05-17,,7.97,,34990.397,,RISK-ON
SELL,TSL 5.6% >= 5%,MID150BEES,MID150BEES,2021-02-08,2021-11-01,86.6,116.8,3199.879,96616.35,RISK-ON
SELL,TSL 5.6% >= 5%,JUNIORBEES,JUNIORBEES,2021-04-19,2021-11-01,356.69,445.76,753.9399,67133.42,RISK-ON
SELL,TSL 6.3% >= 5%,NV20IETF,NV20IETF,2021-05-17,2021-11-01,7.97,9.5,34990.397,53515.31,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=57)",NIFTYBEES,NIFTYBEES,2021-11-01,,193.84,,1731.2303,,RISK-ON
BUY,"NEW BUY (rank=8, cutoff=57)",SBIETFQLTY,SBIETFQLTY,2021-11-01,,154.49,,2172.1903,,RISK-ON
BUY,"NEW BUY (rank=10, cutoff=57)",SBIETFIT,SBIETFIT,2021-11-01,,359.7,,932.9488,,RISK-ON
SELL,TSL 5.7% >= 5%,LOWVOLIETF,LOWVOLIETF,2020-08-24,2021-11-29,9.62,13.73,23304.5302,95761.62,RISK-OFF
SELL,TSL 5.9% >= 5%,BSE500IETF,BSE500IETF,2021-02-08,2021-11-29,20.317,24.25,13639.2932,53623.34,RISK-OFF
SELL,TSL 5.6% >= 5%,NIFTYBEES,NIFTYBEES,2021-11-01,2021-11-29,193.84,184.55,1731.2303,-16103.13,RISK-OFF
BUY,"NEW BUY (rank=5, cutoff=57)",MID150BEES,MID150BEES,2021-12-13,,119.29,,2759.3879,,RISK-ON
BUY,"NEW BUY (rank=6, cutoff=57)",NIF100IETF,NIF100IETF,2021-12-13,,19.17,,17170.9641,,RISK-ON
BUY,"NEW BUY (rank=7, cutoff=57)",NV20IETF,NV20IETF,2021-12-13,,9.5,,34649.198,,RISK-ON
SELL,TSL 7.0% >= 5%,SBIETFIT,SBIETFIT,2021-11-01,2022-01-24,359.7,359.2,932.9488,-486.47,RISK-OFF
SELL,Rank 61 > 57 | TSL 8.3% >= 5%,SBIETFQLTY,SBIETFQLTY,2021-11-01,2022-01-31,154.49,148.03,2172.1903,-14052.35,RISK-OFF
SELL,TSL 6.4% >= 5%,MID150BEES,MID150BEES,2021-12-13,2022-01-31,119.29,115.4,2759.3879,-10754.02,RISK-OFF
SELL,TSL 6.2% >= 5%,NIF100IETF,NIF100IETF,2021-12-13,2022-01-31,19.17,19.04,17170.9641,-2252.23,RISK-OFF
SELL,TSL 6.9% >= 5%,NV20IETF,NV20IETF,2021-12-13,2022-01-31,9.5,9.57,34649.198,2405.44,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=56)",HDFCGOLD,HDFCGOLD,2022-03-21,,45.43,,7122.3901,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=56)",CPSEETF,CPSEETF,2022-03-21,,33.23,,9737.291,,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=56)",PSUBNKBEES,PSUBNKBEES,2022-03-21,,29.55,,10949.9215,,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=56)",PSUBANK,PSUBANK,2022-03-21,,26.41,,12251.8054,,RISK-ON
BUY,"NEW BUY (rank=13, cutoff=56)",ICICIB22,ICICIB22,2022-03-21,,47.96,,6746.6676,,RISK-ON
SELL,TSL 5.2% >= 5%,PSUBNKBEES,PSUBNKBEES,2022-03-21,2022-04-25,29.55,29.9,10949.9215,3812.47,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=56)",SNXT50BETA,SNXT50BETA,2022-04-25,,51.72,,6465.0875,,RISK-ON
SELL,TSL 6.1% >= 5%,PSUBANK,PSUBANK,2022-03-21,2022-05-02,26.41,26.94,12251.8054,6473.46,RISK-OFF
SELL,TSL 5.2% >= 5%,ICICIB22,ICICIB22,2022-03-21,2022-05-09,47.96,48.42,6746.6676,3083.47,RISK-OFF
SELL,TSL 8.9% >= 5%,CPSEETF,CPSEETF,2022-03-21,2022-05-16,33.23,33.99,9737.291,7380.34,RISK-OFF
SELL,TSL 10.2% >= 5%,SNXT50BETA,SNXT50BETA,2022-04-25,2022-05-16,51.72,46.79,6465.0875,-31892.88,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=55)",FMCGIETF,FMCGIETF,2022-07-11,,42.0,,7642.3633,,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=55)",MOGSEC,MOGSEC,2022-07-11,,48.66,,6596.3678,,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=55)",CPSEETF,CPSEETF,2022-07-11,,32.04,,10018.0792,,RISK-ON
BUY,"NEW BUY (rank=13, cutoff=55)",ICICIB22,ICICIB22,2022-07-11,,47.63,,6739.0144,,RISK-ON
SELL,TSL 5.2% >= 5%,HDFCGOLD,HDFCGOLD,2022-03-21,2022-07-18,45.43,44.7,7122.3901,-5219.34,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=55)",AUTOIETF,AUTOIETF,2022-07-18,,125.17,,2584.587,,RISK-ON
SELL,Rank 86 > 55,MOGSEC,MOGSEC,2022-07-11,2022-07-25,48.66,49.04,6596.3678,2486.62,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=55)",CONSUMBEES,CONSUMBEES,2022-07-25,,80.86,,4054.5406,,RISK-ON
SELL,TSL 5.3% >= 5%,CPSEETF,CPSEETF,2022-07-11,2022-09-26,32.04,34.55,10018.0792,25125.38,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=55)",AUTOBEES,AUTOBEES,2022-09-26,,127.5,,2671.2605,,RISK-ON
SELL,TSL 5.8% >= 5%,AUTOIETF,AUTOIETF,2022-07-18,2022-10-17,125.17,126.44,2584.587,3262.43,RISK-OFF
BUY,"NEW BUY (rank=2, cutoff=55)",SBIETFPB,SBIETFPB,2022-10-24,,214.24,,1618.3619,,RISK-ON
SELL,Rank 66 > 57,AUTOBEES,AUTOBEES,2022-09-26,2022-12-12,127.5,129.9,2671.2605,6391.03,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=57)",PSUBNKBEES,PSUBNKBEES,2022-12-12,,48.2,,7401.9677,,RISK-ON
SELL,TSL 6.7% >= 5%,CONSUMBEES,CONSUMBEES,2022-07-25,2022-12-26,80.86,82.48,4054.5406,6548.36,RISK-OFF
SELL,TSL 10.3% >= 5%,PSUBNKBEES,PSUBNKBEES,2022-12-12,2022-12-26,48.2,46.44,7401.9677,-13047.46,RISK-OFF
SELL,Rank 69 > 56,FMCGIETF,FMCGIETF,2022-07-11,2023-01-02,42.0,45.19,7642.3633,24359.14,RISK-OFF
SELL,TSL 6.8% >= 5%,SBIETFPB,SBIETFPB,2022-10-24,2023-01-30,214.24,207.32,1618.3619,-11219.06,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=56)",HDFCGOLD,HDFCGOLD,2023-04-10,,52.81,,6573.6888,,RISK-ON
BUY,"NEW BUY (rank=8, cutoff=56)",SILVERIETF,SILVERIETF,2023-04-10,,75.81,,4579.297,,RISK-ON
BUY,"NEW BUY (rank=16, cutoff=56)",GILT5YBEES,GILT5YBEES,2023-04-10,,51.69,,6716.1251,,RISK-ON
BUY,"NEW BUY (rank=18, cutoff=56)",PSUBNKBEES,PSUBNKBEES,2023-04-10,,41.07,,8452.8003,,RISK-ON
SELL,TSL 6.0% >= 5%,SILVERIETF,SILVERIETF,2023-04-10,2023-05-15,75.81,74.26,4579.297,-7117.91,RISK-ON
BUY,"NEW BUY (rank=8, cutoff=57)",FMCGIETF,FMCGIETF,2023-05-15,,50.99,,7013.104,,RISK-ON
SELL,Rank 65 > 57,PSUBNKBEES,PSUBNKBEES,2023-04-10,2023-05-22,41.07,44.08,8452.8003,25422.93,RISK-ON
BUY,"NEW BUY (rank=14, cutoff=57)",CPSEETF,CPSEETF,2023-05-22,,42.45,,8373.1147,,RISK-ON
SELL,TSL 5.4% >= 5%,HDFCGOLD,HDFCGOLD,2023-04-10,2023-06-26,52.81,51.39,6573.6888,-9354.64,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=57)",AUTOIETF,AUTOIETF,2023-06-26,,148.6,,2433.0875,,RISK-ON
SELL,Rank 66 > 57,GILT5YBEES,GILT5YBEES,2023-04-10,2023-07-24,51.69,52.68,6716.1251,6628.96,RISK-ON
