TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,NEW BUY (rank=1),LICMFGOLD,LICMFGOLD,2020-06-08,,47.23,,3803.2486,,PARTIAL
BUY,NEW BUY (rank=11),LICNETFGSC,LICNETFGSC,2020-06-08,,23.86,,7528.392,,PARTIAL
BUY,NEW BUY (rank=12),HNGSNGBEES,HNGSNGBEES,2020-06-08,,354.86,,506.1924,,PARTIAL
SELL,TSL 5.2% >= 5%,LICMFGOLD,LICMFGOLD,2020-06-08,2020-06-22,47.23,44.76,3803.2486,-9414.02,PARTIAL
BUY,NEW BUY (rank=1),GOLDBETA,GOLDBETA,2020-06-22,,43.13,,4050.5972,,PARTIAL
SELL,TSL 11.5% >= 5%,LICNETFGSC,LICNETFGSC,2020-06-08,2020-06-29,23.86,21.11,7528.392,-20723.08,PARTIAL
BUY,NEW BUY (rank=11),LTGILTBEES,LTGILTBEES,2020-06-29,,21.77,,7998.8527,,PARTIAL
BUY,NEW BUY (rank=13),MIDCAPIETF,MIDCAPIETF,2020-07-20,,58.63,,2973.1119,,BULL
BUY,NEW BUY (rank=12),LICNETFGSC,LICNETFGSC,2020-07-20,,21.81,,7992.3682,,BULL
SELL,Rank 42 > 40,MIDCAPIETF,MIDCAPIETF,2020-07-20,2020-07-27,58.63,58.88,2973.1119,723.28,BULL
BUY,NEW BUY (rank=14),SHARIABEES,SHARIABEES,2020-07-27,,277.95,,638.1792,,BULL
SELL,Rank 51 > 40,HNGSNGBEES,HNGSNGBEES,2020-06-08,2020-08-24,354.86,347.5,506.1924,-3745.58,BULL
BUY,NEW BUY (rank=11),SBIETFQLTY,SBIETFQLTY,2020-08-24,,105.37,,1667.5961,,BULL
SELL,TSL 8.5% >= 5%,SHARIABEES,SHARIABEES,2020-07-27,2020-08-31,277.95,279.06,638.1792,688.38,BULL
SELL,TSL 5.1% >= 5%,LICNETFGSC,LICNETFGSC,2020-07-20,2020-08-31,21.81,20.95,7992.3682,-6893.44,BULL
BUY,NEW BUY (rank=11),MIDCAPIETF,MIDCAPIETF,2020-08-31,,64.89,,2684.5291,,BULL
BUY,NEW BUY (rank=14),LOWVOLIETF,LOWVOLIETF,2020-08-31,,9.44,,18453.2939,,BULL
SELL,Rank 44 > 40,LTGILTBEES,LTGILTBEES,2020-06-29,2020-09-07,21.77,21.9,7998.8527,1019.85,BULL
BUY,NEW BUY (rank=11),NV20BEES,NV20BEES,2020-09-07,,59.52,,2917.6197,,BULL
SELL,Regime slot reduction / sector cap / rank cut,MIDCAPIETF,MIDCAPIETF,2020-08-31,2020-09-28,64.89,64.87,2684.5291,-73.69,PARTIAL
SELL,TSL 12.6% >= 5%,GOLDBETA,GOLDBETA,2020-06-22,2020-09-28,43.13,45.08,4050.5972,7878.66,PARTIAL
BUY,NEW BUY (rank=2),MIDCAPIETF,MIDCAPIETF,2020-10-05,,65.4,,2697.7625,,BULL
BUY,NEW BUY (rank=1),GOLDBETA,GOLDBETA,2020-10-05,,45.72,,3859.0042,,BULL
