TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,MONTHLY PICK (rank=1),QGOLDHALF,QGOLDHALF,2019-11-01,,34.06,,4962.5651,,BULL
BUY,MONTHLY PICK (rank=11),CONSUMBEES,CONSUMBEES,2019-11-01,,55.44,,3048.7909,,BULL
BUY,MONTHLY PICK (rank=12),SBIETFQLTY,SBIETFQLTY,2019-11-01,,102.41,,1650.4733,,BULL
BUY,MONTHLY PICK (rank=13),NEXT50IETF,NEXT50IETF,2019-11-01,,28.86,,5856.721,,BULL
BUY,MONTHLY PICK (rank=15),LICNETFSEN,LICNETFSEN,2019-11-01,,500.0,,338.0499,,BULL
SELL,INTRA-MONTH EXIT: Rank 46 > 40 (moved to cash),SBIETFQLTY,SBIETFQLTY,2019-11-01,2019-11-27,102.41,99.3,1650.4733,-5152.97,BULL
SELL,MONTH-END FLUSH,QGOLDHALF,QGOLDHALF,2019-11-01,2019-11-29,34.06,33.29,4962.5651,-3841.18,BULL
SELL,MONTH-END FLUSH,CONSUMBEES,CONSUMBEES,2019-11-01,2019-11-29,55.44,53.2,3048.7909,-6849.29,BULL
SELL,MONTH-END FLUSH,NEXT50IETF,NEXT50IETF,2019-11-01,2019-11-29,28.86,28.75,5856.721,-664.24,BULL
SELL,MONTH-END FLUSH,LICNETFSEN,LICNETFSEN,2019-11-01,2019-11-29,500.0,490.0,338.0499,-3400.5,BULL
BUY,MONTHLY PICK (rank=1),SETFGOLD,SETFGOLD,2019-12-02,,34.17,,4829.8498,,BULL
BUY,MONTHLY PICK (rank=11),HNGSNGBEES,HNGSNGBEES,2019-12-02,,323.19,,510.6469,,BULL
BUY,MONTHLY PICK (rank=12),SETFNN50,SETFNN50,2019-12-02,,293.6,,562.1116,,BULL
BUY,MONTHLY PICK (rank=13),LICNETFGSC,LICNETFGSC,2019-12-02,,20.66,,7988.1882,,BULL
BUY,MONTHLY PICK (rank=16),CONSUMBEES,CONSUMBEES,2019-12-02,,53.12,,3106.8518,,BULL
SELL,INTRA-MONTH EXIT: Rank 49 > 40 (moved to cash),LICNETFGSC,LICNETFGSC,2019-12-02,2019-12-06,20.66,20.02,7988.1882,-5132.44,BULL
SELL,INTRA-MONTH EXIT: Rank 43 > 40 (moved to cash),CONSUMBEES,CONSUMBEES,2019-12-02,2019-12-16,53.12,52.01,3106.8518,-3468.61,BULL
