TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,TSL 5.5% >= 5%,SETFNIFBK,SETFNIFBK,2019-03-18,2019-05-13,297.41,289.85,648.7435,-4924.5,BEAR
SELL,TSL 5.2% >= 5%,SETFNIF50,SETFNIF50,2019-04-01,2019-05-13,119.5,113.95,1670.2388,-9289.83,BEAR
BUY,NEW BUY (rank=3),CPSEETF,CPSEETF,2019-05-27,,27.99,,6427.1514,,BULL
BUY,NEW BUY (rank=6),LICNETFGSC,LICNETFGSC,2019-05-27,,19.3,,9321.0347,,BULL
BUY,NEW BUY (rank=1),SETFNIFBK,SETFNIFBK,2019-05-27,,319.63,,562.8257,,BULL
BUY,NEW BUY (rank=5),QNIFTY,QNIFTY,2019-05-27,,121.35,,1482.4555,,BULL
BUY,NEW BUY (rank=8),ICICIB22,ICICIB22,2019-05-27,,39.64,,4538.2434,,BULL
SELL,Regime slot reduction / sector cap / rank cut,ICICIB22,ICICIB22,2019-05-27,2019-06-24,39.64,38.44,4538.2434,-5465.89,PARTIAL
SELL,TSL 6.7% >= 5%,LICNETFGSC,LICNETFGSC,2019-05-27,2019-06-24,19.3,19.5,9321.0347,1844.21,PARTIAL
BUY,NEW BUY (rank=10),SENSEXBETA,SENSEXBETA,2019-07-01,,421.08,,424.4451,,BULL
BUY,NEW BUY (rank=18),NIF100BEES,NIF100BEES,2019-07-01,,122.32,,1461.1294,,BULL
SELL,TSL 8.9% >= 5%,CPSEETF,CPSEETF,2019-05-27,2019-07-15,27.99,25.97,6427.1514,-13002.85,BEAR
SELL,Regime slot reduction / sector cap / rank cut,NIF100BEES,NIF100BEES,2019-07-01,2019-07-15,122.32,119.55,1461.1294,-4067.33,BEAR
SELL,Regime slot reduction / sector cap / rank cut,SENSEXBETA,SENSEXBETA,2019-07-01,2019-07-15,421.08,409.95,424.4451,-4744.07,BEAR
SELL,Regime slot reduction / sector cap / rank cut,QNIFTY,QNIFTY,2019-05-27,2019-07-15,121.35,118.15,1482.4555,-4763.86,BEAR
SELL,Regime slot reduction / sector cap / rank cut,SETFNIFBK,SETFNIFBK,2019-05-27,2019-07-15,319.63,308.39,562.8257,-6346.16,BEAR
BUY,NEW BUY (rank=1),SETFGOLD,SETFGOLD,2019-09-23,,33.67,,5139.6397,,PARTIAL
BUY,NEW BUY (rank=12),LICNETFSEN,LICNETFSEN,2019-09-23,,435.1,,397.7285,,PARTIAL
BUY,NEW BUY (rank=11),LICNETFGSC,LICNETFGSC,2019-09-23,,20.97,,8252.3448,,PARTIAL
