ticker,entry_date,exit_date,entry,exit,pct_return,pnl,reason,score
SUNPHARMA,2025-11-14,2025-12-18,1757.1,1745.9,-0.006374139206647213,-159.35348016618033,Stop Loss,8
ZFCVINDIA,2025-12-19,2025-12-23,15567.0,14986.0,-0.03732254127320614,-933.0635318301535,Stop Loss,6
IDEA,2025-12-19,2025-12-31,11.96,10.76,-0.1003344481605352,-2508.36120401338,Stop Loss,7
APLAPOLLO,2026-01-01,2026-01-02,1970.0,1931.9,-0.019340101522842594,-483.50253807106486,Stop Loss,8
FEDERALBNK,2025-11-25,2026-01-06,255.99,256.7,0.0027735458416343587,69.33864604085896,Stop Loss,7
RAMCOCEM,2026-01-09,2026-01-12,1093.8,1083.5,-0.00941671237886264,-235.417809471566,Stop Loss,6
LT,2025-10-16,2026-01-14,3861.8,3865.8,0.0010357864208400227,25.894660521000567,Time Stop,7
PNB,2026-01-16,2026-01-19,132.36,128.05,-0.032562707766696904,-814.0676941674226,Stop Loss,7
BANKINDIA,2026-01-16,2026-01-20,157.34,159.75,0.015317147578492415,382.9286894623104,Stop Loss,7
SILVERBEES,2025-12-17,2026-01-22,192.16,276.27,0.43770815986677764,10942.703996669441,Stop Loss,6
SILVERBEES,2026-01-21,2026-01-22,310.68,276.27,-0.11075704905368876,-2768.926226342219,Stop Loss,7
GOLDBEES,2026-01-21,2026-01-22,134.97,124.34,-0.07875824257242346,-1968.9560643105865,Stop Loss,7
BANKINDIA,2026-01-22,2026-01-23,166.42,159.65,-0.04068020670592466,-1017.0051676481165,Stop Loss,7
INDIANB,2026-01-22,2026-01-23,896.75,876.45,-0.022637301366043996,-565.9325341510998,Stop Loss,7
DABUR,2026-01-22,2026-01-23,525.35,519.0,-0.012087179975254636,-302.1794993813659,Stop Loss,6
NATIONALUM,2025-12-30,2026-01-30,316.6,385.45,0.2174668351231837,5436.6708780795925,Stop Loss,8
NATIONALUM,2026-01-02,2026-01-30,330.3,385.45,0.16696942173781404,4174.235543445351,Stop Loss,7
SILVERBEES,2026-01-27,2026-01-30,317.85,286.48,-0.09869435268208275,-2467.358817052069,Stop Loss,6
HINDCOPPER,2026-01-28,2026-02-02,633.4,610.55,-0.036075149984212226,-901.8787496053056,Stop Loss,6
JKTYRE,2026-02-04,2026-02-05,546.5,536.05,-0.019121683440073277,-478.04208600183193,Stop Loss,6
SONACOMS,2026-02-04,2026-02-06,532.85,513.5,-0.03631415970723472,-907.853992680868,Stop Loss,6
IOC,2026-02-05,2026-02-12,175.77,178.11,0.013312852022529461,332.82130056323655,Stop Loss,7
JKTYRE,2026-02-11,2026-02-12,604.9,582.75,-0.03661762274756154,-915.4405686890386,Stop Loss,7
AARTIIND,2026-02-04,2026-02-13,442.9,446.4,0.007902461052156244,197.5615263039061,Stop Loss,6
ULTRACEMCO,2026-02-04,2026-02-19,12806.0,12688.0,-0.00921443073559269,-230.36076838981725,Stop Loss,6
AUBANK,2025-11-25,2026-02-27,944.05,958.35,0.015147502780573136,378.6875695143284,Stop Loss,6
KARURVYSYA,2026-02-04,2026-02-27,317.25,326.2,0.028211189913317537,705.2797478329385,Stop Loss,7
MFSL,2026-02-12,2026-02-27,1813.5,1813.4,-5.514199062581144e-05,-1.378549765645286,Stop Loss,6
MFSL,2026-02-13,2026-02-27,1824.9,1813.4,-0.0063017151624746555,-157.5428790618664,Stop Loss,7
FINCABLES,2026-03-02,2026-03-04,946.45,889.35,-0.06033070949336998,-1508.2677373342494,Stop Loss,7
KEI,2026-03-02,2026-03-04,5206.0,4979.0,-0.043603534383403766,-1090.0883595850942,Stop Loss,7
